time	q
0.000000000000000e+00	1.000000000000000e-04
1.856036946532725e-03	1.000000000000000e-04
3.712073893065451e-03	1.000000000000000e-04
5.568110839598176e-03	1.000000000000000e-04
7.424147786130902e-03	1.000000000000000e-04
9.280184732663626e-03	1.000000000000000e-04
1.113622167919635e-02	1.000000000000000e-04
1.299225862572908e-02	1.000000000000000e-04
1.484829557226180e-02	1.000000000000000e-04
1.670433251879453e-02	1.000000000000000e-04
1.856036946532725e-02	1.000000000000000e-04
2.041640641185998e-02	1.000000000000000e-04
2.227244335839270e-02	1.000000000000000e-04
2.412848030492543e-02	1.000000000000000e-04
2.598451725145816e-02	1.000000000000000e-04
2.784055419799088e-02	1.000000000000000e-04
2.969659114452361e-02	1.000000000000000e-04
3.155262809105633e-02	1.000000000000000e-04
3.340866503758905e-02	1.000000000000000e-04
3.526470198412178e-02	1.000000000000000e-04
3.712073893065451e-02	1.000000000000000e-04
3.897677587718723e-02	1.000000000000000e-04
4.083281282371996e-02	1.000000000000000e-04
4.268884977025268e-02	1.000000000000000e-04
4.454488671678541e-02	1.000000000000000e-04
4.640092366331813e-02	1.000000000000000e-04
4.825696060985086e-02	1.000000000000000e-04
5.011299755638358e-02	1.000000000000000e-04
5.196903450291631e-02	1.000000000000000e-04
5.382507144944904e-02	1.000000000000000e-04
5.568110839598176e-02	1.000000000000000e-04
5.753714534251449e-02	1.000000000000000e-04
5.939318228904721e-02	1.000000000000000e-04
6.124921923557994e-02	1.000000000000000e-04
6.310525618211266e-02	1.000000000000000e-04
6.496129312864538e-02	1.000000000000000e-04
6.681733007517809e-02	1.000000000000000e-04
6.867336702171081e-02	1.000000000000000e-04
7.052940396824353e-02	1.000000000000000e-04
7.238544091477625e-02	1.000000000000000e-04
7.424147786130897e-02	1.000000000000000e-04
7.609751480784169e-02	1.000000000000000e-04
7.795355175437441e-02	1.000000000000000e-04
7.980958870090712e-02	1.000000000000000e-04
8.166562564743984e-02	1.000000000000000e-04
8.352166259397256e-02	1.000000000000000e-04
8.537769954050528e-02	1.000000000000000e-04
8.723373648703800e-02	1.000000000000000e-04
8.908977343357072e-02	1.000000000000000e-04
9.094581038010344e-02	2.799231144208540e-04
9.280184732663616e-02	9.546798119278563e-03
9.465788427316887e-02	2.747821589804041e-02
9.651392121970159e-02	5.354928640039382e-02
9.836995816623431e-02	8.714599921807499e-02
1.002259951127670e-01	1.275801132592760e-01
1.020820320593000e-01	1.741051123819310e-01
1.039380690058320e-01	2.259327471497830e-01
1.057941059523650e-01	2.822496842554630e-01
1.076501428988980e-01	3.355439525795450e-01
1.095061798454310e-01	3.848815756617100e-01
1.113622167919630e-01	4.305563006920900e-01
1.132182537384960e-01	4.728400666353060e-01
1.150742906850290e-01	5.119846233053570e-01
1.169303276315610e-01	5.482230302379960e-01
1.187863645780940e-01	5.817710442846180e-01
1.206424015246270e-01	6.128284041891060e-01
1.224984384711600e-01	6.415800197958140e-01
1.243544754176920e-01	6.681970729689800e-01
1.262105123642250e-01	6.928380367782569e-01
1.280665493107580e-01	7.156496190184070e-01
1.299225862572910e-01	7.367676356806920e-01
1.317786232038230e-01	7.563178195764700e-01
1.336346601503560e-01	7.744165689273660e-01
1.354906970968890e-01	7.911716403790090e-01
1.373467340434210e-01	8.066827905644099e-01
1.392027709899540e-01	8.210423700367190e-01
1.410588079364870e-01	8.343358731075360e-01
1.429148448830200e-01	8.466424468644220e-01
1.447708818295520e-01	8.580353623981880e-01
1.466269187760850e-01	8.685824510455780e-01
1.484829557226180e-01	8.783465082446510e-01
1.503389926691500e-01	8.873856674073430e-01
1.521950296156830e-01	8.957537460351730e-01
1.540510665622160e-01	9.035005661388130e-01
1.559071035087490e-01	9.106722508692330e-01
1.577631404552810e-01	9.173114991265120e-01
1.596191774018140e-01	9.234578397812820e-01
1.614752143483470e-01	9.291478670224030e-01
1.633312512948790e-01	9.344154582320719e-01
1.651872882414120e-01	9.392919756855660e-01
1.670433251879450e-01	9.438064532764960e-01
1.688993621344780e-01	9.479857693793030e-01
1.707553990810100e-01	9.518548068781890e-01
1.726114360275430e-01	9.554366013152560e-01
1.744674729740760e-01	9.587524780399210e-01
1.763235099206080e-01	9.618221791761400e-01
1.781795468671410e-01	9.646639811634140e-01
1.800355838136740e-01	9.672948035713630e-01
1.818916207602070e-01	9.697303098357550e-01
1.837476577067390e-01	9.719850005157390e-01
1.856036946532720e-01	9.740722996275210e-01
1.874597315998050e-01	9.760046345685049e-01
1.893157685463380e-01	9.777935101077470e-01
1.911718054928700e-01	9.794495768832470e-01
1.930278424394030e-01	9.809826948138960e-01
1.948838793859360e-01	9.824019918036380e-01
1.967399163324680e-01	9.837159180873370e-01
1.985959532790010e-01	9.849322965419340e-01
2.004519902255340e-01	9.860583692624230e-01
2.023080271720670e-01	9.871008406799640e-01
2.041640641185990e-01	9.880659174788380e-01
2.060201010651320e-01	9.889593455499140e-01
2.078761380116650e-01	9.897864442006300e-01
2.097321749581970e-01	9.905521378251810e-01
2.115882119047300e-01	9.912609852234550e-01
2.134442488512630e-01	9.919172067433040e-01
2.153002857977960e-01	9.925247094077150e-01
2.171563227443280e-01	9.930871101765150e-01
2.190123596908610e-01	9.936077574810890e-01
2.208683966373940e-01	9.940897511603271e-01
2.227244335839260e-01	9.945359609164980e-01
2.245804705304590e-01	9.949490434009360e-01
2.264365074769920e-01	9.953314580312500e-01
2.282925444235250e-01	9.956854816342530e-01
2.301485813700570e-01	9.960132220017720e-01
2.320046183165900e-01	9.963166304400520e-01
2.338606552631230e-01	9.965975133874780e-01
2.357166922096550e-01	9.968575431697810e-01
2.375727291561880e-01	9.970982679567580e-01
2.394287661027210e-01	9.973211209797920e-01
2.412848030492540e-01	9.975274290650500e-01
2.431408399957860e-01	9.977184205331640e-01
2.449968769423190e-01	9.978952325124260e-01
2.468529138888520e-01	9.980589177090440e-01
2.487089508353850e-01	9.982104506747610e-01
2.505649877819170e-01	9.983507336091580e-01
2.524210247284500e-01	9.984806017311880e-01
2.542770616749830e-01	9.986008282519100e-01
2.561330986215160e-01	9.987121289780559e-01
2.579891355680480e-01	9.988151665738060e-01
2.598451725145810e-01	9.989105545061731e-01
2.617012094611140e-01	9.989988606974700e-01
2.635572464076460e-01	9.990806109066210e-01
2.654132833541790e-01	9.991562918594290e-01
2.672693203007120e-01	9.992263541464550e-01
2.691253572472450e-01	9.992912149057490e-01
2.709813941937770e-01	9.993512603064190e-01
2.728374311403100e-01	9.994068478478040e-01
2.746934680868430e-01	9.994583084879650e-01
2.765495050333760e-01	9.995059486141500e-01
2.784055419799080e-01	9.995500518669610e-01
2.802615789264410e-01	9.995908808291050e-01
2.821176158729740e-01	9.996286785887600e-01
2.839736528195070e-01	9.996636701868780e-01
2.858296897660390e-01	9.996960639570390e-01
2.876857267125720e-01	9.997260527658300e-01
2.895417636591050e-01	9.997538151611370e-01
2.913978006056380e-01	9.997795164351870e-01
2.932538375521700e-01	9.998033096086690e-01
2.951098744987030e-01	9.998253363417891e-01
2.969659114452360e-01	9.998457277776890e-01
2.988219483917690e-01	9.998646053232531e-01
3.006779853383010e-01	9.998820813719350e-01
3.025340222848340e-01	9.998982599729360e-01
3.043900592313670e-01	9.999132374506891e-01
3.062460961779000e-01	9.999271029783590e-01
3.081021331244320e-01	9.999399391087640e-01
3.099581700709650e-01	9.999518222658770e-01
3.118142070174980e-01	9.999628231998440e-01
3.136702439640310e-01	9.999730074082160e-01
3.155262809105630e-01	9.999824355259080e-01
3.173823178570960e-01	9.999911636862080e-01
3.192383548036290e-01	9.999992438549890e-01
3.210943917501620e-01	1.000006724140100e+00
3.229504286966940e-01	1.000013649077790e+00
3.248064656432270e-01	1.000020059897870e+00
3.266625025897600e-01	1.000025994769190e+00
3.285185395362930e-01	1.000031489026890e+00
3.303745764828250e-01	1.000036575382790e+00
3.322306134293580e-01	1.000041284120100e+00
3.340866503758910e-01	1.000045643273800e+00
3.359426873224240e-01	1.000049678797480e+00
3.377987242689560e-01	1.000053414717930e+00
3.396547612154890e-01	1.000056873278110e+00
3.415107981620220e-01	1.000060075069680e+00
3.433668351085550e-01	1.000063039155510e+00
3.452228720550870e-01	1.000065783183230e+00
3.470789090016200e-01	1.000068323490280e+00
3.489349459481530e-01	1.000070675201170e+00
3.507909828946860e-01	1.000072852317570e+00
3.526470198412180e-01	1.000074867801640e+00
3.545030567877510e-01	1.000076733653190e+00
3.563590937342840e-01	1.000078460981160e+00
3.582151306808170e-01	1.000080060069750e+00
3.600711676273490e-01	1.000081540439640e+00
3.619272045738820e-01	1.000082910904680e+00
3.637832415204150e-01	1.000084179624370e+00
3.656392784669480e-01	1.000085354152440e+00
3.674953154134800e-01	1.000086441481810e+00
3.693513523600130e-01	1.000087448086230e+00
3.712073893065460e-01	1.000088379958860e+00
3.730634262530790e-01	1.000089242647890e+00
3.749194631996110e-01	1.000090041289610e+00
3.767755001461440e-01	1.000090780638990e+00
3.786315370926770e-01	1.000091465097970e+00
3.804875740392100e-01	1.000092098741710e+00
3.823436109857420e-01	1.000092685342800e+00
3.841996479322750e-01	1.000093228393760e+00
3.860556848788080e-01	1.000093731127820e+00
3.879117218253410e-01	1.000094196538150e+00
3.897677587718730e-01	1.000094627395740e+00
3.916237957184060e-01	1.000095026265820e+00
3.934798326649390e-01	1.000095395523190e+00
