time	q
0.000000000000000e+00	5.000000000000000e-03
3.015878574983840e-03	5.000000000000000e-03
6.031757149967679e-03	5.000000000000000e-03
9.047635724951519e-03	5.000000000000000e-03
1.206351429993536e-02	5.000000000000000e-03
1.507939287491920e-02	5.000000000000000e-03
1.809527144990304e-02	5.000000000000000e-03
2.111115002488688e-02	5.000000000000000e-03
2.412702859987072e-02	5.000000000000000e-03
2.714290717485456e-02	5.000000000000000e-03
3.015878574983839e-02	5.000000000000000e-03
3.317466432482223e-02	5.000000000000000e-03
3.619054289980607e-02	5.000000000000000e-03
3.920642147478991e-02	5.000000000000000e-03
4.222230004977374e-02	5.000000000000000e-03
4.523817862475758e-02	5.000000000000000e-03
4.825405719974142e-02	5.000000000000000e-03
5.126993577472526e-02	5.000000000000000e-03
5.428581434970910e-02	5.000000000000000e-03
5.730169292469293e-02	5.000000000000000e-03
6.031757149967677e-02	5.000000000000000e-03
6.333345007466061e-02	5.000000000000000e-03
6.634932864964445e-02	5.000000000000000e-03
6.936520722462829e-02	5.000000000000000e-03
7.238108579961212e-02	5.000000000000000e-03
7.539696437459596e-02	5.000000000000000e-03
7.841284294957980e-02	5.000000000000000e-03
8.142872152456364e-02	5.000000000000000e-03
8.444460009954748e-02	5.000000000000000e-03
8.746047867453131e-02	5.000000000000000e-03
9.047635724951515e-02	5.000000000000000e-03
9.349223582449899e-02	5.128859456659753e-03
9.650811439948283e-02	8.949158891904835e-03
9.952399297446667e-02	3.709750748434859e-02
1.025398715494510e-01	1.391914215627210e-01
1.055557501244340e-01	3.458177458069880e-01
1.085716286994180e-01	5.520794736426859e-01
1.115875072744020e-01	6.990299721711710e-01
1.146033858493860e-01	7.932702276411270e-01
1.176192644243700e-01	8.529514229910570e-01
1.206351429993540e-01	8.915951717401250e-01
1.236510215743370e-01	9.174419663284270e-01
1.266669001493210e-01	9.353153314705440e-01
1.296827787243050e-01	9.480637732889330e-01
1.326986572992890e-01	9.574125197711620e-01
1.357145358742730e-01	9.644381771177040e-01
1.387304144492570e-01	9.698330060680800e-01
1.417462930242400e-01	9.740548842508450e-01
1.447621715992240e-01	9.774146329042370e-01
1.477780501742080e-01	9.801282912246180e-01
1.507939287491920e-01	9.823492667706371e-01
1.538098073241760e-01	9.841886227049890e-01
1.568256858991600e-01	9.857281888263960e-01
1.598415644741430e-01	9.870292240165860e-01
1.628574430491270e-01	9.881382570741620e-01
1.658733216241110e-01	9.890910993695140e-01
1.688892001990950e-01	9.899156493936390e-01
1.719050787740790e-01	9.906338842560580e-01
1.749209573490630e-01	9.912632946805980e-01
1.779368359240460e-01	9.918179330887930e-01
1.809527144990300e-01	9.923091887455370e-01
1.839685930740140e-01	9.927463677526400e-01
1.869844716489980e-01	9.931371317444170e-01
1.900003502239820e-01	9.934878330729580e-01
1.930162287989660e-01	9.938037733311880e-01
1.960321073739490e-01	9.940894045138901e-01
1.990479859489330e-01	9.943484868440770e-01
2.020638645239170e-01	9.945842135654780e-01
2.050797430989010e-01	9.947993103389980e-01
2.080956216738850e-01	9.949961149584940e-01
2.111115002488690e-01	9.951766416996030e-01
2.141273788238530e-01	9.953426335840690e-01
2.171432573988360e-01	9.954956050766440e-01
2.201591359738200e-01	9.956368771587870e-01
2.231750145488040e-01	9.957676062913891e-01
2.261908931237880e-01	9.958888084505000e-01
2.292067716987720e-01	9.960013791687899e-01
2.322226502737560e-01	9.961061103220220e-01
2.352385288487390e-01	9.962037042497131e-01
2.382544074237230e-01	9.962947856821800e-01
2.412702859987070e-01	9.963799118542970e-01
2.442861645736910e-01	9.964595811138510e-01
2.473020431486750e-01	9.965342402749130e-01
2.503179217236590e-01	9.966042909208230e-01
2.533338002986420e-01	9.966700948246640e-01
2.563496788736260e-01	9.967319786255791e-01
2.593655574486100e-01	9.967902378753620e-01
2.623814360235940e-01	9.968451405503780e-01
2.653973145985780e-01	9.968969301080310e-01
2.684131931735620e-01	9.969458281540560e-01
2.714290717485460e-01	9.969920367762640e-01
2.744449503235300e-01	9.970357405915830e-01
2.774608288985130e-01	9.970771085459800e-01
2.804767074734970e-01	9.971162955007900e-01
2.834925860484810e-01	9.971534436339770e-01
2.865084646234650e-01	9.971886836806090e-01
2.895243431984490e-01	9.972221360333250e-01
2.925402217734330e-01	9.972539117205850e-01
2.955561003484170e-01	9.972841132780030e-01
2.985719789234000e-01	9.973128355259320e-01
3.015878574983840e-01	9.973401662646730e-01
3.046037360733680e-01	9.973661868971671e-01
3.076196146483520e-01	9.973909729876880e-01
3.106354932233360e-01	9.974145947639760e-01
3.136513717983200e-01	9.974371175692880e-01
3.166672503733040e-01	9.974586022699830e-01
3.196831289482870e-01	9.974791056236200e-01
3.226990075232710e-01	9.974986806118760e-01
3.257148860982550e-01	9.975173767420840e-01
3.287307646732390e-01	9.975352403207630e-01
3.317466432482230e-01	9.975523147020630e-01
3.347625218232070e-01	9.975686405137431e-01
3.377784003981910e-01	9.975842558629821e-01
3.407942789731750e-01	9.975991965240660e-01
3.438101575481580e-01	9.976134961097620e-01
3.468260361231420e-01	9.976271862279860e-01
3.498419146981260e-01	9.976402966252000e-01
3.528577932731100e-01	9.976528553178160e-01
3.558736718480940e-01	9.976648887127449e-01
3.588895504230780e-01	9.976764217181150e-01
3.619054289980620e-01	9.976874778450689e-01
3.649213075730450e-01	9.976980793014540e-01
3.679371861480290e-01	9.977082470781520e-01
3.709530647230130e-01	9.977180010286950e-01
3.739689432979970e-01	9.977273599427769e-01
3.769848218729810e-01	9.977363416141760e-01
