time	q
0.000000000000000e+00	5.000000000000000e-03
2.739682900465379e-03	5.000000000000000e-03
5.479365800930757e-03	5.000000000000000e-03
8.219048701396135e-03	5.000000000000000e-03
1.095873160186151e-02	5.000000000000000e-03
1.369841450232689e-02	5.000000000000000e-03
1.643809740279227e-02	5.000000000000000e-03
1.917778030325765e-02	5.000000000000000e-03
2.191746320372303e-02	5.000000000000000e-03
2.465714610418841e-02	5.000000000000000e-03
2.739682900465379e-02	5.000000000000000e-03
3.013651190511917e-02	5.000000000000000e-03
3.287619480558455e-02	5.000000000000000e-03
3.561587770604992e-02	5.000000000000000e-03
3.835556060651530e-02	5.000000000000000e-03
4.109524350698068e-02	5.000000000000000e-03
4.383492640744605e-02	5.000000000000000e-03
4.657460930791143e-02	5.000000000000000e-03
4.931429220837680e-02	5.000000000000000e-03
5.205397510884218e-02	5.000000000000000e-03
5.479365800930756e-02	5.000000000000000e-03
5.753334090977293e-02	5.000000000000000e-03
6.027302381023831e-02	5.000000000000000e-03
6.301270671070369e-02	5.000000000000000e-03
6.575238961116907e-02	5.000000000000000e-03
6.849207251163444e-02	5.000000000000000e-03
7.123175541209982e-02	5.000000000000000e-03
7.397143831256520e-02	5.000000000000000e-03
7.671112121303057e-02	5.000000000000000e-03
7.945080411349595e-02	5.000000000000000e-03
8.219048701396132e-02	5.000000000000000e-03
8.493016991442670e-02	5.000000000000000e-03
8.766985281489208e-02	5.000000000000000e-03
9.040953571535745e-02	5.000000000000000e-03
9.314921861582283e-02	5.031689672683743e-03
9.588890151628821e-02	6.029642263100257e-03
9.862858441675358e-02	1.378174186694733e-02
1.013682673172190e-01	4.546094581021660e-02
1.041079502176840e-01	1.297990426745670e-01
1.068476331181500e-01	2.731532485306520e-01
1.095873160186150e-01	4.241541090471660e-01
1.123269989190800e-01	5.529870004118110e-01
1.150666818195460e-01	6.521974580235740e-01
1.178063647200110e-01	7.256300973515820e-01
1.205460476204770e-01	7.795954252953680e-01
1.232857305209420e-01	8.195776488760640e-01
1.260254134214070e-01	8.496359843818651e-01
1.287650963218730e-01	8.726171197553230e-01
1.315047792223380e-01	8.904893260621000e-01
1.342444621228040e-01	9.046180887741720e-01
1.369841450232690e-01	9.159613940429600e-01
1.397238279237340e-01	9.251974239277100e-01
1.424635108242000e-01	9.328135767276891e-01
1.452031937246650e-01	9.391660162498960e-01
1.479428766251300e-01	9.445191650589420e-01
1.506825595255960e-01	9.490722726993540e-01
1.534222424260610e-01	9.529775657816030e-01
1.561619253265270e-01	9.563528407382330e-01
1.589016082269920e-01	9.592903336548610e-01
1.616412911274570e-01	9.618630586555840e-01
1.643809740279230e-01	9.641293996531980e-01
1.671206569283880e-01	9.661364798607410e-01
1.698603398288540e-01	9.679226644481710e-01
1.726000227293190e-01	9.695194405147850e-01
1.753397056297840e-01	9.709528443599200e-01
1.780793885302500e-01	9.722445558808750e-01
1.808190714307150e-01	9.734127455827840e-01
1.835587543311810e-01	9.744727358757120e-01
1.862984372316460e-01	9.754375216331660e-01
1.890381201321110e-01	9.763181831399310e-01
1.917778030325770e-01	9.771242160647360e-01
1.945174859330420e-01	9.778637969438330e-01
1.972571688335070e-01	9.785439981658630e-01
1.999968517339730e-01	9.791709631318980e-01
2.027365346344380e-01	9.797500497968090e-01
2.054762175349040e-01	9.802859489468611e-01
2.082159004353690e-01	9.807827821688589e-01
2.109555833358340e-01	9.812441834002490e-01
2.136952662363000e-01	9.816733671320040e-01
2.164349491367650e-01	9.820731857048830e-01
2.191746320372310e-01	9.824461776490960e-01
2.219143149376960e-01	9.827946086339230e-01
2.246539978381610e-01	9.831205062922440e-01
2.273936807386270e-01	9.834256899464530e-01
2.301333636390920e-01	9.837117960726790e-01
2.328730465395580e-01	9.839803001887150e-01
2.356127294400230e-01	9.842325357294550e-01
2.383524123404880e-01	9.844697103755230e-01
2.410920952409540e-01	9.846929202212550e-01
2.438317781414190e-01	9.849031621034910e-01
2.465714610418850e-01	9.851013443597750e-01
2.493111439423500e-01	9.852882962411550e-01
2.520508268428150e-01	9.854647761690540e-01
2.547905097432810e-01	9.856314789961340e-01
2.575301926437460e-01	9.857890424065801e-01
