time	q
0.000000000000000e+00	5.000000000000000e-03
2.494670608553841e-03	5.000000000000000e-03
4.989341217107682e-03	5.000000000000000e-03
7.484011825661523e-03	5.000000000000000e-03
9.978682434215364e-03	5.000000000000000e-03
1.247335304276920e-02	5.000000000000000e-03
1.496802365132304e-02	5.000000000000000e-03
1.746269425987688e-02	5.000000000000000e-03
1.995736486843072e-02	5.000000000000000e-03
2.245203547698457e-02	5.000000000000000e-03
2.494670608553841e-02	5.000000000000000e-03
2.744137669409225e-02	5.000000000000000e-03
2.993604730264609e-02	5.000000000000000e-03
3.243071791119993e-02	5.000000000000000e-03
3.492538851975377e-02	5.000000000000000e-03
3.742005912830761e-02	5.000000000000000e-03
3.991472973686146e-02	5.000000000000000e-03
4.240940034541530e-02	5.000000000000000e-03
4.490407095396914e-02	5.000000000000000e-03
4.739874156252299e-02	5.000000000000000e-03
4.989341217107683e-02	5.000000000000000e-03
5.238808277963068e-02	5.000000000000000e-03
5.488275338818452e-02	5.000000000000000e-03
5.737742399673836e-02	5.000000000000000e-03
5.987209460529221e-02	5.000000000000000e-03
6.236676521384605e-02	5.000000000000000e-03
6.486143582239989e-02	5.000000000000000e-03
6.735610643095373e-02	5.000000000000000e-03
6.985077703950757e-02	5.000000000000000e-03
7.234544764806140e-02	5.000000000000000e-03
7.484011825661524e-02	5.000000000000000e-03
7.733478886516908e-02	5.000000000000000e-03
7.982945947372291e-02	5.000000000000000e-03
8.232413008227675e-02	5.000000000000000e-03
8.481880069083059e-02	5.000000000000000e-03
8.731347129938442e-02	5.000000000000000e-03
8.980814190793826e-02	5.000000000000000e-03
9.230281251649210e-02	5.001335649143183e-03
9.479748312504593e-02	5.071093492299458e-03
9.729215373359977e-02	5.745491692387470e-03
9.978682434215361e-02	8.949674540272210e-03
1.022814949507070e-01	1.925138029356013e-02
1.047761655592610e-01	4.476323368757158e-02
1.072708361678150e-01	9.092497146437895e-02
1.097655067763690e-01	1.533061215640930e-01
1.122601773849230e-01	2.253263989477420e-01
1.147548479934770e-01	2.995535783005120e-01
1.172495186020300e-01	3.702363087170940e-01
1.197441892105840e-01	4.341609085777000e-01
1.222388598191380e-01	4.902319100315460e-01
1.247335304276920e-01	5.386487130197710e-01
1.272282010362460e-01	5.802118033779340e-01
1.297228716448000e-01	6.158957467681631e-01
1.322175422533540e-01	6.466382744235720e-01
1.347122128619070e-01	6.732592468720310e-01
1.372068834704610e-01	6.964443222226220e-01
1.397015540790150e-01	7.167555922856610e-01
1.421962246875690e-01	7.346505830107990e-01
1.446908952961230e-01	7.505016355330300e-01
1.471855659046770e-01	7.646128271330420e-01
1.496802365132300e-01	7.772338201609960e-01
1.521749071217840e-01	7.885708718068720e-01
1.546695777303380e-01	7.987954816976990e-01
1.571642483388920e-01	8.080511626832780e-01
1.596589189474460e-01	8.164587510571230e-01
1.621535895560000e-01	8.241205892529589e-01
1.646482601645540e-01	8.311238391626510e-01
1.671429307731070e-01	8.375431233773930e-01
1.696376013816610e-01	8.434426444352570e-01
1.721322719902150e-01	8.488778962871910e-01
1.746269425987690e-01	8.538970551876180e-01
1.771216132073230e-01	8.585421169288410e-01
1.796162838158770e-01	8.628498320733680e-01
1.821109544244310e-01	8.668524793066150e-01
1.846056250329840e-01	8.705785082755330e-01
1.871002956415380e-01	8.740530765895070e-01
1.895949662500920e-01	8.772985005182310e-01
1.920896368586460e-01	8.803346349440430e-01
1.945843074672000e-01	8.831791950304700e-01
1.970789780757540e-01	8.858480296442400e-01
1.995736486843070e-01	8.883553546579550e-01
2.020683192928610e-01	8.907139527472770e-01
2.045629899014150e-01	8.929353450907550e-01
2.070576605099690e-01	8.950299394148230e-01
2.095523311185230e-01	8.970071580493100e-01
2.120470017270770e-01	8.988755490301660e-01
2.145416723356310e-01	9.006428827753930e-01
2.170363429441840e-01	9.023162364433700e-01
2.195310135527380e-01	9.039020677411820e-01
2.220256841612920e-01	9.054062796695090e-01
2.245203547698460e-01	9.068342774584820e-01
2.270150253784000e-01	9.081910187564500e-01
2.295096959869540e-01	9.094810579734480e-01
2.320043665955080e-01	9.107085855474780e-01
2.344990372040610e-01	9.118774627897130e-01
2.369937078126150e-01	9.129912528706500e-01
2.394883784211690e-01	9.140532484299060e-01
2.419830490297230e-01	9.150664962253300e-01
2.444777196382770e-01	9.160338191802410e-01
2.469723902468310e-01	9.169578361393130e-01
2.494670608553850e-01	9.178409796024170e-01
2.519617314639380e-01	9.186855116705810e-01
2.544564020724920e-01	9.194935384080360e-01
2.569510726810460e-01	9.202670227984741e-01
2.594457432896000e-01	9.210077964513380e-01
2.619404138981540e-01	9.217175701947480e-01
2.644350845067080e-01	9.223979436750620e-01
2.669297551152610e-01	9.230504140686590e-01
2.694244257238150e-01	9.236763839990429e-01
2.719190963323690e-01	9.242771687414950e-01
2.744137669409230e-01	9.248540027879950e-01
2.769084375494770e-01	9.254080458369240e-01
2.794031081580310e-01	9.259403882647220e-01
2.818977787665850e-01	9.264520561304290e-01
2.843924493751380e-01	9.269440157583830e-01
2.868871199836920e-01	9.274171779395010e-01
2.893817905922460e-01	9.278724017872270e-01
2.918764612008000e-01	9.283104982804190e-01
2.943711318093540e-01	9.287322335220980e-01
2.968658024179080e-01	9.291383317399911e-01
2.993604730264620e-01	9.295294780521390e-01
3.018551436350150e-01	9.299063210185400e-01
3.043498142435690e-01	9.302694749976660e-01
3.068444848521230e-01	9.306195223248660e-01
3.093391554606770e-01	9.309570153279910e-01
3.118338260692310e-01	9.312824781941280e-01
3.143284966777850e-01	9.315964086999680e-01
3.168231672863380e-01	9.318992798171920e-01
3.193178378948920e-01	9.321915412031720e-01
3.218125085034460e-01	9.324736205863490e-01
3.243071791120000e-01	9.327459250547830e-01
3.268018497205540e-01	9.330088422556120e-01
3.292965203291080e-01	9.332627415124720e-01
3.317911909376620e-01	9.335079748672810e-01
3.342858615462150e-01	9.337448780522540e-01
3.367805321547690e-01	9.339737713975010e-01
3.392752027633230e-01	9.341949606790930e-01
3.417698733718770e-01	9.344087379120670e-01
3.442645439804310e-01	9.346153820924770e-01
3.467592145889850e-01	9.348151598922370e-01
3.492538851975390e-01	9.350083263102080e-01
3.517485558060920e-01	9.351951252826890e-01
3.542432264146460e-01	9.353757902562160e-01
3.567378970232000e-01	9.355505447253540e-01
3.592325676317540e-01	9.357196027379210e-01
3.617272382403080e-01	9.358831693699400e-01
3.642219088488620e-01	9.360414411723770e-01
3.667165794574150e-01	9.361946065916150e-01
3.692112500659690e-01	9.363428463654380e-01
3.717059206745230e-01	9.364863338961550e-01
3.742005912830770e-01	9.366252356024100e-01
3.766952618916310e-01	9.367597112510569e-01
3.791899325001850e-01	9.368899142704240e-01
3.816846031087390e-01	9.370159920461550e-01
3.841792737172920e-01	9.371380862007640e-01
3.866739443258460e-01	9.372563328579150e-01
3.891686149344000e-01	9.373708628924290e-01
3.916632855429540e-01	9.374818021668641e-01
3.941579561515080e-01	9.375892717555450e-01
3.966526267600620e-01	9.376933881567850e-01
3.991472973686160e-01	9.377942634940321e-01
4.016419679771690e-01	9.378920057066100e-01
4.041366385857230e-01	9.379867187306710e-01
4.066313091942770e-01	9.380785026709531e-01
4.091259798028310e-01	9.381674539638710e-01
4.116206504113850e-01	9.382536655324580e-01
4.141153210199390e-01	9.383372269336350e-01
4.166099916284920e-01	9.384182244982250e-01
4.191046622370460e-01	9.384967414641650e-01
4.215993328456000e-01	9.385728581032580e-01
4.240940034541540e-01	9.386466518418660e-01
4.265886740627080e-01	9.387181973758550e-01
4.290833446712620e-01	9.387875667801210e-01
4.315780152798160e-01	9.388548296129960e-01
4.340726858883690e-01	9.389200530158019e-01
4.365673564969230e-01	9.389833018078310e-01
4.390620271054770e-01	9.390446385769760e-01
4.415566977140310e-01	9.391041237662630e-01
4.440513683225850e-01	9.391618157564871e-01
4.465460389311390e-01	9.392177709451630e-01
4.490407095396930e-01	9.392720438219790e-01
4.515353801482460e-01	9.393246870409300e-01
4.540300507568000e-01	9.393757514893130e-01
4.565247213653540e-01	9.394252863537250e-01
4.590193919739080e-01	9.394733391832319e-01
4.615140625824620e-01	9.395199559498369e-01
4.640087331910160e-01	9.395651811063900e-01
4.665034037995700e-01	9.396090576420580e-01
4.689980744081230e-01	9.396516271354850e-01
4.714927450166770e-01	9.396929298057380e-01
4.739874156252310e-01	9.397330045611640e-01
4.764820862337850e-01	9.397718890462380e-01
4.789767568423390e-01	9.398096196865210e-01
4.814714274508930e-01	9.398462317317881e-01
4.839660980594460e-01	9.398817592974390e-01
4.864607686680000e-01	9.399162354042560e-01
4.889554392765540e-01	9.399496920165820e-01
4.914501098851080e-01	9.399821600790080e-01
4.939447804936620e-01	9.400136695516190e-01
4.964394511022160e-01	9.400442494438740e-01
4.989341217107700e-01	9.400739278471750e-01
5.014287923193230e-01	9.401027319661950e-01
5.039234629278770e-01	9.401306881489980e-01
5.064181335364309e-01	9.401578219160310e-01
5.089128041449850e-01	9.401841579880120e-01
5.114074747535390e-01	9.402097203127791e-01
5.139021453620920e-01	9.402345320911381e-01
5.163968159706460e-01	9.402586158017490e-01
5.188914865792000e-01	9.402819932250980e-01
5.213861571877541e-01	9.403046854665910e-01
5.238808277963080e-01	9.403267129788050e-01
5.263754984048610e-01	9.403480955829270e-01
5.288701690134150e-01	9.403688524894290e-01
5.313648396219690e-01	9.403890023179881e-01
5.338595102305230e-01	9.404085631167100e-01
5.363541808390760e-01	9.404275523806520e-01
5.388488514476300e-01	9.404459870697059e-01
5.413435220561840e-01	9.404638836258400e-01
5.438381926647380e-01	9.404812579897430e-01
5.463328632732920e-01	9.404981256168850e-01
5.488275338818450e-01	9.405145014930170e-01
5.513222044903990e-01	9.405304001491430e-01
5.538168750989531e-01	9.405458356759669e-01
5.563115457075070e-01	9.405608217378520e-01
5.588062163160610e-01	9.405753715862940e-01
5.613008869246140e-01	9.405894980729490e-01
5.637955575331680e-01	9.406032136622060e-01
5.662902281417220e-01	9.406165304433450e-01
5.687848987502760e-01	9.406294601422850e-01
5.712795693588300e-01	9.406420141329330e-01
5.737742399673830e-01	9.406542034481600e-01
5.762689105759370e-01	9.406660387904100e-01
5.787635811844910e-01	9.406775305419570e-01
5.812582517930450e-01	9.406886887748250e-01
5.837529224015990e-01	9.406995232603810e-01
5.862475930101519e-01	9.407100434786100e-01
5.887422636187060e-01	9.407202586270950e-01
5.912369342272600e-01	9.407301776296940e-01
5.937316048358140e-01	9.407398091449440e-01
5.962262754443680e-01	9.407491615741880e-01
5.987209460529210e-01	9.407582430694390e-01
6.012156166614750e-01	9.407670615409980e-01
6.037102872700290e-01	9.407756246648170e-01
6.062049578785830e-01	9.407839398896330e-01
6.086996284871370e-01	9.407920144438739e-01
6.111942990956900e-01	9.407998553423430e-01
6.136889697042440e-01	9.408074693926890e-01
6.161836403127980e-01	9.408148632016800e-01
6.186783109213519e-01	9.408220431812639e-01
6.211729815299060e-01	9.408290155544550e-01
6.236676521384590e-01	9.408357863610221e-01
6.261623227470130e-01	9.408423614630080e-01
6.286569933555670e-01	9.408487465500640e-01
6.311516639641210e-01	9.408549471446350e-01
6.336463345726741e-01	9.408609686069660e-01
6.361410051812280e-01	9.408668161399640e-01
6.386356757897820e-01	9.408724947939020e-01
6.411303463983360e-01	9.408780094709840e-01
6.436250170068900e-01	9.408833649297650e-01
6.461196876154430e-01	9.408885657894330e-01
6.486143582239970e-01	9.408936165339630e-01
6.511090288325510e-01	9.408985215161400e-01
6.536036994411050e-01	9.409032849614610e-01
6.560983700496590e-01	9.409079109719179e-01
6.585930406582120e-01	9.409124035296610e-01
6.610877112667660e-01	9.409167665005530e-01
6.635823818753200e-01	9.409210036376180e-01
6.660770524838741e-01	9.409251185843770e-01
6.685717230924280e-01	9.409291148780911e-01
6.710663937009810e-01	9.409329959529010e-01
6.735610643095350e-01	9.409367651428741e-01
6.760557349180890e-01	9.409404256849540e-01
6.785504055266430e-01	9.409439807218321e-01
6.810450761351970e-01	9.409474333047180e-01
6.835397467437500e-01	9.409507863960380e-01
6.860344173523040e-01	9.409540428720470e-01
6.885290879608580e-01	9.409572055253630e-01
6.910237585694120e-01	9.409602770674250e-01
6.935184291779660e-01	9.409632601308811e-01
6.960130997865190e-01	9.409661572718960e-01
6.985077703950729e-01	9.409689709724010e-01
7.010024410036270e-01	9.409717036422650e-01
7.034971116121810e-01	9.409743576214130e-01
7.059917822207350e-01	9.409769351818690e-01
7.084864528292880e-01	9.409794385297480e-01
7.109811234378420e-01	9.409818698071830e-01
7.134757940463961e-01	9.409842310941980e-01
7.159704646549500e-01	9.409865244105210e-01
7.184651352635040e-01	9.409887517173490e-01
7.209598058720570e-01	9.409909149190540e-01
7.234544764806110e-01	9.409930158648460e-01
7.259491470891650e-01	9.409950563503801e-01
7.284438176977190e-01	9.409970381193180e-01
7.309384883062729e-01	9.409989628648490e-01
7.334331589148260e-01	9.410008322311540e-01
7.359278295233800e-01	9.410026478148400e-01
7.384225001319340e-01	9.410044111663191e-01
7.409171707404880e-01	9.410061237911610e-01
7.434118413490410e-01	9.410077871513920e-01
7.459065119575951e-01	9.410094026667630e-01
7.484011825661490e-01	9.410109717159830e-01
7.508958531747030e-01	9.410124956379060e-01
7.533905237832570e-01	9.410139757326950e-01
7.558851943918100e-01	9.410154132629440e-01
7.583798650003640e-01	9.410168094547680e-01
7.608745356089180e-01	9.410181654988640e-01
7.633692062174720e-01	9.410194825515410e-01
7.658638768260260e-01	9.410207617357120e-01
7.683585474345790e-01	9.410220041418710e-01
7.708532180431330e-01	9.410232108290260e-01
7.733478886516870e-01	9.410243828256180e-01
7.758425592602410e-01	9.410255211304021e-01
7.783372298687951e-01	9.410266267133131e-01
7.808319004773480e-01	9.410277005162960e-01
7.833265710859020e-01	9.410287434541200e-01
7.858212416944560e-01	9.410297564151650e-01
7.883159123030100e-01	9.410307402621850e-01
7.908105829115640e-01	9.410316958330510e-01
7.933052535201170e-01	9.410326239414710e-01
7.957999241286710e-01	9.410335253776890e-01
7.982945947372250e-01	9.410344009091630e-01
8.007892653457790e-01	9.410352512812280e-01
8.032839359543330e-01	9.410360772177310e-01
8.057786065628860e-01	9.410368794216570e-01
8.082732771714400e-01	9.410376585757280e-01
8.107679477799939e-01	9.410384153429920e-01
8.132626183885480e-01	9.410391503673911e-01
8.157572889971020e-01	9.410398642743110e-01
8.182519596056550e-01	9.410405576711220e-01
8.207466302142090e-01	9.410412311476950e-01
8.232413008227630e-01	9.410418852769090e-01
8.257359714313171e-01	9.410425206151420e-01
8.282306420398710e-01	9.410431377027479e-01
8.307253126484240e-01	9.410437370645190e-01
8.332199832569780e-01	9.410443192101330e-01
8.357146538655320e-01	9.410448846345910e-01
8.382093244740860e-01	9.410454338186450e-01
8.407039950826390e-01	9.410459672292010e-01
8.431986656911930e-01	9.410464853197260e-01
8.456933362997470e-01	9.410469885306320e-01
8.481880069083010e-01	9.410474772896530e-01
8.506826775168550e-01	9.410479520122100e-01
8.531773481254080e-01	9.410484131017700e-01
8.556720187339620e-01	9.410488609501870e-01
8.581666893425161e-01	9.410492959380370e-01
8.606613599510700e-01	9.410497184349450e-01
8.631560305596240e-01	9.410501287999000e-01
8.656507011681770e-01	9.410505273815610e-01
8.681453717767310e-01	9.410509145185550e-01
8.706400423852850e-01	9.410512905397680e-01
8.731347129938390e-01	9.410516557646230e-01
8.756293836023930e-01	9.410520105033530e-01
8.781240542109460e-01	9.410523550572690e-01
8.806187248195000e-01	9.410526897190130e-01
8.831133954280540e-01	9.410530147728110e-01
8.856080660366080e-01	9.410533304947130e-01
8.881027366451620e-01	9.410536371528300e-01
8.905974072537149e-01	9.410539350075620e-01
8.930920778622690e-01	9.410542243118190e-01
8.955867484708230e-01	9.410545053112420e-01
8.980814190793770e-01	9.410547782444040e-01
9.005760896879310e-01	9.410550433430210e-01
9.030707602964840e-01	9.410553008321449e-01
9.055654309050380e-01	9.410555509303560e-01
9.080601015135920e-01	9.410557938499530e-01
9.105547721221460e-01	9.410560297971280e-01
9.130494427307000e-01	9.410562589721470e-01
9.155441133392530e-01	9.410564815695190e-01
9.180387839478070e-01	9.410566977781600e-01
9.205334545563610e-01	9.410569077815570e-01
9.230281251649149e-01	9.410571117579219e-01
9.255227957734690e-01	9.410573098803440e-01
9.280174663820220e-01	9.410575023169370e-01
9.305121369905760e-01	9.410576892309860e-01
9.330068075991300e-01	9.410578707810781e-01
9.355014782076840e-01	9.410580471212470e-01
9.379961488162371e-01	9.410582184010970e-01
9.404908194247910e-01	9.410583847659350e-01
9.429854900333450e-01	9.410585463568890e-01
9.454801606418990e-01	9.410587033110360e-01
9.479748312504530e-01	9.410588557615110e-01
9.504695018590060e-01	9.410590038376230e-01
9.529641724675600e-01	9.410591476649680e-01
9.554588430761140e-01	9.410592873655310e-01
9.579535136846680e-01	9.410594230577940e-01
9.604481842932220e-01	9.410595548568330e-01
9.629428549017750e-01	9.410596828744190e-01
9.654375255103290e-01	9.410598072191110e-01
9.679321961188830e-01	9.410599279963510e-01
9.704268667274371e-01	9.410600453085510e-01
9.729215373359910e-01	9.410601592551791e-01
9.754162079445440e-01	9.410602699328480e-01
9.779108785530980e-01	9.410603774353959e-01
9.804055491616520e-01	9.410604818539630e-01
9.829002197702060e-01	9.410605832770730e-01
9.853948903787600e-01	9.410606817907080e-01
9.878895609873130e-01	9.410607774783780e-01
9.903842315958670e-01	9.410608704211960e-01
9.928789022044210e-01	9.410609606979450e-01
9.953735728129750e-01	9.410610483851450e-01
9.978682434215290e-01	9.410611335571190e-01
1.000362914030080e+00	9.410612162860540e-01
1.002857584638640e+00	9.410612966420669e-01
1.005352255247190e+00	9.410613746932570e-01
1.007846925855740e+00	9.410614505057709e-01
1.010341596464300e+00	9.410615241438550e-01
1.012836267072850e+00	9.410615956699100e-01
1.015330937681410e+00	9.410616651445450e-01
1.017825608289960e+00	9.410617326266290e-01
1.020320278898510e+00	9.410617981733420e-01
1.022814949507070e+00	9.410618618402190e-01
1.025309620115620e+00	9.410619236812030e-01
1.027804290724170e+00	9.410619837486870e-01
1.030298961332730e+00	9.410620420935600e-01
1.032793631941280e+00	9.410620987652500e-01
1.035288302549840e+00	9.410621538117659e-01
1.037782973158390e+00	9.410622072797390e-01
1.040277643766940e+00	9.410622592144590e-01
1.042772314375500e+00	9.410623096599190e-01
1.045266984984050e+00	9.410623586588470e-01
1.047761655592600e+00	9.410624062527450e-01
1.050256326201160e+00	9.410624524819230e-01
1.052750996809710e+00	9.410624973855350e-01
1.055245667418270e+00	9.410625410016100e-01
1.057740338026820e+00	9.410625833670850e-01
1.060235008635370e+00	9.410626245178390e-01
1.062729679243930e+00	9.410626644887180e-01
1.065224349852480e+00	9.410627033135710e-01
1.067719020461030e+00	9.410627410252720e-01
1.070213691069590e+00	9.410627776557530e-01
1.072708361678140e+00	9.410628132360310e-01
1.075203032286700e+00	9.410628477962319e-01
1.077697702895250e+00	9.410628813656140e-01
1.080192373503800e+00	9.410629139726000e-01
1.082687044112360e+00	9.410629456447950e-01
1.085181714720910e+00	9.410629764090120e-01
1.087676385329470e+00	9.410630062912940e-01
1.090171055938020e+00	9.410630353169380e-01
1.092665726546570e+00	9.405161682753400e-01
1.095160397155130e+00	9.391814873235010e-01
1.097655067763680e+00	9.370138633338100e-01
1.100149738372230e+00	9.339252385143501e-01
1.102644408980790e+00	9.297772612566210e-01
1.105139079589340e+00	9.243686385346310e-01
1.107633750197900e+00	9.181616586570830e-01
1.110128420806450e+00	9.114984662861489e-01
1.112623091415000e+00	9.043544196930330e-01
1.115117762023560e+00	8.967050289413030e-01
1.117612432632110e+00	8.885262463391000e-01
1.120107103240660e+00	8.797947994292030e-01
1.122601773849220e+00	8.704885672560880e-01
1.125096444457770e+00	8.605869995090250e-01
1.127591115066330e+00	8.500715767554190e-01
1.130085785674880e+00	8.389263083624970e-01
1.132580456283430e+00	8.271382628924890e-01
1.135075126891990e+00	8.146981238074820e-01
1.137569797500540e+00	8.016007613253510e-01
1.140064468109100e+00	7.878458093496340e-01
1.142559138717650e+00	7.734382347053360e-01
1.145053809326200e+00	7.583888846243521e-01
1.147548479934760e+00	7.427149977209609e-01
1.150043150543310e+00	7.264406637424050e-01
1.152537821151860e+00	7.095972182649410e-01
1.155032491760420e+00	6.922235601683550e-01
1.157527162368970e+00	6.743663817876160e-01
1.160021832977530e+00	6.560803031494710e-01
1.162516503586080e+00	6.374279006256320e-01
1.165011174194630e+00	6.184796127584560e-01
1.167505844803190e+00	5.993134849109460e-01
1.170000515411740e+00	5.800146682645330e-01
1.172495186020290e+00	5.606745017907180e-01
1.174989856628850e+00	5.413888655376899e-01
1.177484527237400e+00	5.222553180182620e-01
1.179979197845960e+00	5.033684336422920e-01
1.182473868454510e+00	4.848130315959840e-01
1.184968539063060e+00	4.666560440042470e-01
1.187463209671620e+00	4.489395808362170e-01
1.189957880280170e+00	4.316789603391500e-01
1.192452550888720e+00	4.148679109559660e-01
1.194947221497280e+00	3.984889114168960e-01
1.197441892105830e+00	3.825235475130870e-01
1.199936562714390e+00	3.669588380042100e-01
1.202431233322940e+00	3.517889135445860e-01
1.204925903931490e+00	3.370137549347830e-01
1.207420574540050e+00	3.226369388407910e-01
1.209915245148600e+00	3.086635649529260e-01
1.212409915757160e+00	2.950987780332560e-01
1.214904586365710e+00	2.819468783305480e-01
1.217399256974260e+00	2.692108683108500e-01
1.219893927582820e+00	2.568922767057650e-01
1.222388598191370e+00	2.449911406573230e-01
1.224883268799920e+00	2.335060700072040e-01
1.227377939408480e+00	2.224343502583070e-01
1.229872610017030e+00	2.117720611951750e-01
1.232367280625590e+00	2.015141996233020e-01
1.234861951234140e+00	1.916548005916140e-01
1.237356621842690e+00	1.821870543241350e-01
1.239851292451250e+00	1.731034174406300e-01
1.242345963059800e+00	1.643957177061570e-01
1.244840633668350e+00	1.560552519044730e-01
1.247335304276910e+00	1.480728766497440e-01
1.249829974885460e+00	1.404390921046130e-01
1.252324645494020e+00	1.331441186881230e-01
1.254819316102570e+00	1.261779669458760e-01
1.257313986711120e+00	1.195305008230520e-01
1.259808657319680e+00	1.131914946319990e-01
1.262303327928230e+00	1.071506840428470e-01
1.264797998536780e+00	1.013978114503450e-01
1.267292669145340e+00	9.592266608472583e-02
1.269787339753890e+00	9.071511924072063e-02
1.272282010362450e+00	8.576515499829486e-02
1.274776680971000e+00	8.106289680267455e-02
1.277271351579550e+00	7.659863026081896e-02
1.279766022188110e+00	7.236282249774688e-02
1.282260692796660e+00	6.834613839984363e-02
1.284755363405220e+00	6.453945405419853e-02
1.287250034013770e+00	6.093386767375625e-02
1.289744704622320e+00	5.752070827813429e-02
1.292239375230880e+00	5.429154237976479e-02
1.294734045839430e+00	5.123817890494805e-02
1.297228716447980e+00	4.835267255970398e-02
1.299723387056540e+00	4.562732583123313e-02
1.302218057665090e+00	4.305468979751702e-02
1.304712728273650e+00	4.062756390022861e-02
1.307207398882200e+00	3.833899481980055e-02
1.309702069490750e+00	3.618227457626499e-02
1.312196740099310e+00	3.415093796538468e-02
1.314691410707860e+00	3.223875942665552e-02
1.317186081316410e+00	3.043974942797399e-02
1.319680751924970e+00	2.874815044111790e-02
1.322175422533520e+00	2.715843257264729e-02
1.324670093142080e+00	2.566528890636333e-02
1.327164763750630e+00	2.426363060600730e-02
1.329659434359180e+00	2.294858182038617e-02
1.332154104967740e+00	2.171547442750986e-02
1.334648775576290e+00	2.055984264954766e-02
1.337143446184840e+00	1.947741756638483e-02
1.339638116793400e+00	1.846412155220266e-02
1.342132787401950e+00	1.751606265674631e-02
1.344627458010510e+00	1.662952895069220e-02
1.347122128619060e+00	1.580098285271023e-02
1.349616799227610e+00	1.502705545435169e-02
1.352111469836170e+00	1.430454085770756e-02
1.354606140444720e+00	1.363039053980235e-02
1.357100811053280e+00	1.300170775685059e-02
1.359595481661830e+00	1.241574200074887e-02
1.362090152270380e+00	1.186988351945478e-02
1.364584822878940e+00	1.136165791217662e-02
1.367079493487490e+00	1.088872080953206e-02
1.369574164096040e+00	1.044885264801082e-02
1.372068834704600e+00	1.003995354718651e-02
1.374563505313150e+00	9.660038297163751e-03
1.377058175921710e+00	9.307231462730532e-03
1.379552846530260e+00	8.979762609624782e-03
