time	force
0.000000000000000e+00	1.062649115900000e-01
2.410029992500000e-03	1.062649115900000e-01
4.820059984900000e-03	1.062649115900000e-01
7.230089977400000e-03	1.062649115900000e-01
9.640119969800000e-03	1.062649115900000e-01
1.205014996200000e-02	1.062649115900000e-01
1.446017995500000e-02	1.062649115900000e-01
1.687020994700000e-02	1.062649115900000e-01
1.928023994000000e-02	1.062649115900000e-01
2.169026993200000e-02	1.062649115900000e-01
2.410029992500000e-02	1.062649115900000e-01
2.651032991700000e-02	1.062649115900000e-01
2.892035991000000e-02	1.062649115900000e-01
3.133038803900000e-02	1.062649115900000e-01
3.374041989400000e-02	1.062649115900000e-01
3.615044802400000e-02	1.062649115900000e-01
3.856047987900000e-02	1.062649115900000e-01
4.097050800900000e-02	1.062649115900000e-01
4.338053986400000e-02	1.062649115900000e-01
4.579056799400000e-02	1.062649115900000e-01
4.820059984900000e-02	1.062649115900000e-01
5.061062797900000e-02	1.062649115900000e-01
5.302065983400000e-02	1.062649115900000e-01
5.543068796400000e-02	1.062649115900000e-01
5.784071981900000e-02	1.062649115900000e-01
6.025074794900000e-02	1.062649115900000e-01
6.266077607900000e-02	1.062649115900000e-01
6.507080793400000e-02	1.062649115900000e-01
6.748083978900001e-02	1.062649115900000e-01
6.989086419300000e-02	1.062649115900000e-01
7.230089604900000e-02	1.062649115900000e-01
7.471092790400000e-02	1.062649115900000e-01
7.712095975900000e-02	1.062649115900000e-01
7.953098416300000e-02	1.062649115900000e-01
8.194101601800000e-02	1.062649115900000e-01
8.435104787300000e-02	1.062649115900000e-01
8.676107972900000e-02	1.062649115900000e-01
8.917110413300000e-02	1.062649115900000e-01
9.158113598800000e-02	1.062649190400000e-01
9.399116784300000e-02	1.062663197500000e-01
9.640119969800000e-02	1.062870100100000e-01
9.881122410300000e-02	1.064177826000000e-01
1.012212559600000e-01	1.069467440200000e-01
1.036312878100000e-01	1.085590869200000e-01
1.060413196700000e-01	1.125685572600000e-01
1.084513440700000e-01	1.203669309600000e-01
1.108613759300000e-01	1.332996040600000e-01
1.132714077800000e-01	1.526615768700000e-01
1.156814396400000e-01	1.797344535600000e-01
1.180914640400000e-01	2.157830596000000e-01
1.205014959000000e-01	2.619599103900000e-01
1.229115277500000e-01	3.191456794700000e-01
1.253215521600000e-01	3.877955675100000e-01
1.277315765600000e-01	4.678541421900000e-01
1.301416158700000e-01	5.587634444200000e-01
1.325516402700000e-01	6.595507860199999e-01
1.349616795800000e-01	7.689598798800000e-01
1.373717039800000e-01	8.855879306800000e-01
1.397817283900000e-01	1.008003115700000e+00
1.421917676900000e-01	1.134830832500000e+00
1.446017921000000e-01	1.264808058700000e+00
1.470118165000000e-01	1.396811604500000e+00
1.494218558100000e-01	1.529867649100000e+00
1.518318802100000e-01	1.663148164700000e+00
1.542419195200000e-01	1.795960664700000e+00
1.566519439200000e-01	1.927734136600000e+00
1.590619683300000e-01	2.058004140900000e+00
1.614720076300000e-01	2.186398029300000e+00
1.638820320400000e-01	2.312620878200000e+00
1.662920564400000e-01	2.436443805700000e+00
1.687020957500000e-01	2.557693243000000e+00
1.711121201500000e-01	2.676240921000000e+00
1.735221594600000e-01	2.791996955900000e+00
1.759321838600000e-01	2.904902696600000e+00
1.783422082700000e-01	3.014925003100000e+00
1.807522475700000e-01	3.122051954300000e+00
1.831622719800000e-01	3.226289033900000e+00
1.855722963800000e-01	3.327655077000000e+00
1.879823356900000e-01	3.426180362700000e+00
1.903923600900000e-01	3.521903991700000e+00
1.928023994000000e-01	3.614872217200000e+00
1.952124238000000e-01	3.705136537600000e+00
1.976224482100000e-01	3.792752742800000e+00
2.000324875100000e-01	3.877779722200000e+00
2.024425119200000e-01	3.960278511000000e+00
2.048525363200000e-01	4.040311336500000e+00
2.072625756300000e-01	4.117942810100000e+00
2.096726000300000e-01	4.193235397300000e+00
2.120826393400000e-01	4.266253948200000e+00
2.144926637400000e-01	4.337061882000000e+00
2.169026881500000e-01	4.405721664400000e+00
2.193127274500000e-01	4.472295284300000e+00
2.217227518600000e-01	4.536844730400000e+00
2.241327762600000e-01	4.599429607400000e+00
2.265428155700000e-01	4.660108566300000e+00
2.289528399700000e-01	4.718938827500000e+00
2.313628792800000e-01	4.775977134700000e+00
2.337729036800000e-01	4.831278324100000e+00
2.361829280900000e-01	4.884895324700000e+00
2.385929673900000e-01	4.936879634900000e+00
2.410029918000000e-01	4.987282753000000e+00
2.434130162000000e-01	5.036152839700000e+00
2.458230555100000e-01	5.083538055400000e+00
2.482330799100000e-01	5.129484176600000e+00
2.506431043100000e-01	5.174036026000000e+00
2.530531287200000e-01	5.217237472500000e+00
2.554631531200000e-01	5.259130477900000e+00
2.578732073300000e-01	5.299755573300000e+00
2.602832317400000e-01	5.339152813000000e+00
2.626932561400000e-01	5.377359867100000e+00
2.651032805400000e-01	5.414414405800000e+00
2.675133049500000e-01	5.450351715100000e+00
2.699233591600000e-01	5.485207557700000e+00
2.723333835600000e-01	5.519014358500000e+00
2.747434079600000e-01	5.551805973100000e+00
2.771534323700000e-01	5.583612918900000e+00
2.795634567700000e-01	5.614466190300000e+00
2.819734811800000e-01	5.644395828200000e+00
2.843835353900000e-01	5.673429489100000e+00
2.867935597900000e-01	5.701595306400000e+00
2.892035841900000e-01	5.728919982900000e+00
2.916136086000000e-01	5.755429744700000e+00
2.940236330000000e-01	5.781149387400000e+00
2.964336872100000e-01	5.806103706400000e+00
2.988437116100000e-01	5.830315113100000e+00
3.012537360200000e-01	5.853807449300000e+00
3.036637604200000e-01	5.876602649700000e+00
3.060737848300000e-01	5.898721694900000e+00
3.084838390400000e-01	5.920185089100000e+00
3.108938634400000e-01	5.941013336200000e+00
3.133038878400000e-01	5.961225509600000e+00
3.157139122500000e-01	5.980840683000000e+00
3.181239366500000e-01	5.999876022300000e+00
3.205339610600000e-01	6.018350601200000e+00
3.229440152600000e-01	6.036280155200000e+00
3.253540396700000e-01	6.053681850400000e+00
3.277640640700000e-01	6.070571422600000e+00
3.301740884800000e-01	6.086964130400000e+00
3.325841128800000e-01	6.102875232700000e+00
