time	force
0.000000000000000e+00	1.491042203300000e-03
1.578385825300000e-03	1.491042203300000e-03
3.156771650500000e-03	1.491042203300000e-03
4.735157359400000e-03	1.491042203300000e-03
6.313543301100000e-03	1.491042203300000e-03
7.891928777100000e-03	1.491042203300000e-03
9.470314718799999e-03	1.491042203300000e-03
1.104870066000000e-02	1.491042203300000e-03
1.262708660200000e-02	1.491042203300000e-03
1.420547254400000e-02	1.491042203300000e-03
1.578385755400000e-02	1.491042203300000e-03
1.736224442700000e-02	1.491042203300000e-03
1.894062943800000e-02	1.491042203300000e-03
2.051901631100000e-02	1.491042203300000e-03
2.209740132100000e-02	1.491042203300000e-03
2.367578819400000e-02	1.491042203300000e-03
2.525417320400000e-02	1.491042203300000e-03
2.683256007700000e-02	1.491042203300000e-03
2.841094508800000e-02	1.491042203300000e-03
2.998933009800000e-02	1.491042203300000e-03
3.156771510800000e-02	1.491042203300000e-03
3.314610198100000e-02	1.491042203300000e-03
3.472448885400000e-02	1.491042203300000e-03
3.630287200200000e-02	1.491042203300000e-03
3.788125887500000e-02	1.491042203300000e-03
3.945964574800000e-02	1.491042203300000e-03
4.103803262100000e-02	1.491042203300000e-03
4.261641576900000e-02	1.491042203300000e-03
4.419480264200000e-02	1.491042203300000e-03
4.577318951500000e-02	1.491042203300000e-03
4.735157638800000e-02	1.491042203300000e-03
4.892995953600000e-02	1.491042203300000e-03
5.050834640900000e-02	1.491042203300000e-03
5.208673328200000e-02	1.491042203300000e-03
5.366512015500000e-02	1.491042203300000e-03
5.524350330200000e-02	1.491042203300000e-03
5.682189017500000e-02	1.491042203300000e-03
5.840027704800000e-02	1.491042203300000e-03
5.997866019600000e-02	1.491042203300000e-03
6.155704706900000e-02	1.491042203300000e-03
6.313543021699999e-02	1.491042203300000e-03
6.471382081500000e-02	1.491042203300000e-03
6.629220396299999e-02	1.491042203300000e-03
6.787058711100000e-02	1.491042203300000e-03
6.944897770900001e-02	1.491042203300000e-03
7.102736085700000e-02	1.491042203300000e-03
7.260574400399999e-02	1.491042203300000e-03
7.418413460300000e-02	1.491042203300000e-03
7.576251774999999e-02	1.491042203300000e-03
7.734090834900000e-02	1.491042203300000e-03
7.891929149599999e-02	1.491042203300000e-03
8.049767464400000e-02	1.491042203300000e-03
8.207606524199999e-02	1.491042203300000e-03
8.365444839000000e-02	1.491042203300000e-03
8.523283153800000e-02	1.491042203300000e-03
8.681122213600000e-02	1.491042203300000e-03
8.838960528400000e-02	1.491042203300000e-03
8.996798843100000e-02	1.491042203300000e-03
9.154637903000000e-02	1.693386118900000e-03
9.312476217700000e-02	2.394239883900000e-03
9.470315277600000e-02	3.578139236200000e-03
9.628153592300000e-02	5.214552395000000e-03
9.785991907100000e-02	7.278673350800000e-03
9.943830966900000e-02	9.772146120699999e-03
1.010166928200000e-01	1.274043507900000e-02
1.025950759600000e-01	1.628639921500000e-02
1.041734665600000e-01	2.058053202900000e-02
1.057518497100000e-01	2.586788311600000e-02
1.073302403100000e-01	3.225076943600000e-02
1.089086234600000e-01	4.004185274200000e-02
1.104870066000000e-01	4.960390925400000e-02
1.120653972000000e-01	6.128074973800000e-02
1.136437803500000e-01	7.538001239300000e-02
1.152221635000000e-01	9.215846657800000e-02
1.168005541000000e-01	1.118111237900000e-01
1.183789372400000e-01	1.344648897600000e-01
1.199573203900000e-01	1.601769030100000e-01
1.215357109900000e-01	1.889369487800000e-01
1.231140941400000e-01	2.206735462000000e-01
1.246924847400000e-01	2.552622258700000e-01
1.262708604300000e-01	2.925353944300000e-01
1.278492510300000e-01	3.322925269600000e-01
1.294276416300000e-01	3.743101060400000e-01
1.310060173300000e-01	4.183507263700000e-01
1.325844079300000e-01	4.641709625700000e-01
1.341627985200000e-01	5.115278959300000e-01
1.357411742200000e-01	5.601842999500000e-01
1.373195648200000e-01	6.099126935000000e-01
1.388979554200000e-01	6.604977846100000e-01
1.404763311100000e-01	7.117386460300000e-01
1.420547217100000e-01	7.634496092800001e-01
1.436331123100000e-01	8.154606819200000e-01
1.452114880100000e-01	8.676175475100000e-01
1.467898786100000e-01	9.197810292200000e-01
1.483682692100000e-01	9.718266129499999e-01
1.499466449000000e-01	1.023643612900000e+00
1.515250355000000e-01	1.075134158100000e+00
1.531034261000000e-01	1.126212239300000e+00
1.546818167000000e-01	1.176802873600000e+00
1.562601923900000e-01	1.226841330500000e+00
1.578385829900000e-01	1.276271462400000e+00
1.594169735900000e-01	1.325045943300000e+00
1.609953492900000e-01	1.373124361000000e+00
1.625737398900000e-01	1.420473337200000e+00
1.641521304800000e-01	1.467065095900000e+00
1.657305061800000e-01	1.512877702700000e+00
1.673088967800000e-01	1.557893514600000e+00
1.688872873800000e-01	1.602099180200000e+00
1.704656630800000e-01	1.645485281900000e+00
1.720440536700000e-01	1.688045620900000e+00
1.736224442700000e-01	1.729776620900000e+00
1.752008199700000e-01	1.770677685700000e+00
1.767792105700000e-01	1.810750126800000e+00
1.783576011700000e-01	1.849997401200000e+00
1.799359768600000e-01	1.888424634900000e+00
1.815143674600000e-01	1.926038265200000e+00
1.830927580600000e-01	1.962846279100000e+00
1.846711486600000e-01	1.998857498200000e+00
1.862495243500000e-01	2.034081697500000e+00
1.878279149500000e-01	2.068529605900000e+00
1.894063055500000e-01	2.102212429000000e+00
1.909846812500000e-01	2.135142326400000e+00
1.925630718500000e-01	2.167331218700000e+00
1.941414624500000e-01	2.198791742300000e+00
1.957198381400000e-01	2.229537010200000e+00
1.972982287400000e-01	2.259580135300000e+00
1.988766193400000e-01	2.288934469200000e+00
2.004549950400000e-01	2.317613124800000e+00
2.020333856300000e-01	2.345629930500000e+00
2.036117762300000e-01	2.372997760800000e+00
2.051901519300000e-01	2.399730444000000e+00
2.067685425300000e-01	2.425841331500000e+00
2.083469331300000e-01	2.451343536400000e+00
2.099253088200000e-01	2.476250410100000e+00
2.115036994200000e-01	2.500574588800000e+00
2.130820900200000e-01	2.524329185500000e+00
2.146604806200000e-01	2.547527074800000e+00
2.162388563200000e-01	2.570180416100000e+00
2.178172469100000e-01	2.592301607100000e+00
2.193956375100000e-01	2.613903045700000e+00
2.209740132100000e-01	2.634996652600000e+00
2.225524038100000e-01	2.655593872100000e+00
2.241307944100000e-01	2.675706386600000e+00
2.257091701000000e-01	2.695345401800000e+00
2.272875607000000e-01	2.714522361800000e+00
2.288659513000000e-01	2.733247518500000e+00
2.304443270000000e-01	2.751532077800000e+00
2.320227176000000e-01	2.769386053100000e+00
2.336011081900000e-01	2.786819696400000e+00
2.351794838900000e-01	2.803843259800000e+00
2.367578744900000e-01	2.820466280000000e+00
2.383362650900000e-01	2.836698293700000e+00
2.399146407800000e-01	2.852548837700000e+00
2.414930313800000e-01	2.868026733400000e+00
2.430714219800000e-01	2.883140802400000e+00
2.446498125800000e-01	2.897900342900000e+00
2.462281882800000e-01	2.912313222900000e+00
2.478065788700000e-01	2.926388025300000e+00
2.493849694700000e-01	2.940132856400000e+00
2.509633302700000e-01	2.953555822400000e+00
2.525417208700000e-01	2.966664075900000e+00
2.541201114700000e-01	2.979465723000000e+00
2.556985020600000e-01	2.991967916500000e+00
2.572768926600000e-01	3.004177570300000e+00
2.588552832600000e-01	3.016102314000000e+00
2.604336440600000e-01	3.027748346300000e+00
2.620120346500000e-01	3.039122819900000e+00
2.635904252500000e-01	3.050231933600000e+00
2.651688158500000e-01	3.061082124700000e+00
2.667472064500000e-01	3.071679592100000e+00
2.683255970500000e-01	3.082030534700000e+00
2.699039578400000e-01	3.092140674600000e+00
2.714823484400000e-01	3.102015972100000e+00
2.730607390400000e-01	3.111661672600000e+00
2.746391296400000e-01	3.121083498000000e+00
2.762175202400000e-01	3.130286693600000e+00
2.777959108400000e-01	3.139276504500000e+00
2.793743014300000e-01	3.148058176000000e+00
2.809526622300000e-01	3.156636476500000e+00
2.825310528300000e-01	3.165016174300000e+00
2.841094434300000e-01	3.173202037800000e+00
2.856878340200000e-01	3.181198835400000e+00
2.872662246200000e-01	3.189011097000000e+00
2.888446152200000e-01	3.196642875700000e+00
2.904229760200000e-01	3.204098463100000e+00
2.920013666200000e-01	3.211382389100000e+00
2.935797572100000e-01	3.218498468400000e+00
2.951581478100000e-01	3.225450515700000e+00
2.967365384100000e-01	3.232242584200000e+00
2.983149290100000e-01	3.238878727000000e+00
2.998932898000000e-01	3.245362043400000e+00
3.014716804000000e-01	3.251696348200000e+00
3.030500710000000e-01	3.257885456100000e+00
3.046284616000000e-01	3.263932466500000e+00
3.062068522000000e-01	3.269840717300000e+00
3.077852428000000e-01	3.275613546400000e+00
3.093636333900000e-01	3.281254053100000e+00
