simulation	experiment
2.003847211600000e-01	1.110467624700000e+01
2.017250955100000e-01	1.110514068600000e+01
2.023952752400000e-01	1.110536575300000e+01
2.037356495900000e-01	1.110579967500000e+01
2.044058293100000e-01	1.110600948300000e+01
2.057461887600000e-01	1.110641574900000e+01
2.064163684800000e-01	1.110661125200000e+01
2.077567428400000e-01	1.110699081400000e+01
2.084269225600000e-01	1.110717392000000e+01
2.097672969100000e-01	1.110752868700000e+01
2.104374766300000e-01	1.110770034800000e+01
2.117778360800000e-01	1.110803222700000e+01
2.124480307100000e-01	1.110819244400000e+01
2.137883901600000e-01	1.110850334200000e+01
2.144585698800000e-01	1.110865306900000e+01
2.157989442300000e-01	1.110894393900000e+01
2.164691239600000e-01	1.110908412900000e+01
2.178094834100000e-01	1.110935592700000e+01
2.184796780300000e-01	1.110948753400000e+01
2.198200374800000e-01	1.110974121100000e+01
2.204902172100000e-01	1.110986423500000e+01
2.218305915600000e-01	1.111010265400000e+01
2.225007712800000e-01	1.111021804800000e+01
2.238411307300000e-01	1.111044120800000e+01
2.245113253600000e-01	1.111054897300000e+01
2.258516848100000e-01	1.111075782800000e+01
2.265218645300000e-01	1.111085891700000e+01
2.278622388800000e-01	1.111105442000000e+01
2.285324186100000e-01	1.111114883400000e+01
2.298727780600000e-01	1.111133194000000e+01
2.305429726800000e-01	1.111142063100000e+01
2.318833321300000e-01	1.111159229300000e+01
2.325535118600000e-01	1.111167526200000e+01
2.338938862100000e-01	1.111183643300000e+01
2.345640659300000e-01	1.111191463500000e+01
2.359044253800000e-01	1.111206531500000e+01
2.365746200100000e-01	1.111213874800000e+01
2.379149794600000e-01	1.111227989200000e+01
2.385851591800000e-01	1.111234855700000e+01
2.399255335300000e-01	1.111248207100000e+01
2.405957132600000e-01	1.111254596700000e+01
2.419360727100000e-01	1.111267089800000e+01
2.426062673300000e-01	1.111273098000000e+01
2.439466267800000e-01	1.111284828200000e+01
2.446168065100000e-01	1.111290454900000e+01
2.459571808600000e-01	1.111301422100000e+01
2.466273605800000e-01	1.111306762700000e+01
2.479677200300000e-01	1.111317062400000e+01
2.486379146600000e-01	1.111322021500000e+01
2.499782741100000e-01	1.111331749000000e+01
2.506484389300000e-01	1.111336422000000e+01
2.519888281800000e-01	1.111345481900000e+01
2.526589930100000e-01	1.111349868800000e+01
2.539993524600000e-01	1.111358451800000e+01
2.546695470800000e-01	1.111362552600000e+01
2.553397417100000e-01	1.111366653400000e+01
2.566801011600000e-01	1.111374473600000e+01
2.573502957800000e-01	1.111378288300000e+01
2.586906552300000e-01	1.111385726900000e+01
2.593608200600000e-01	1.111389255500000e+01
2.607012093100000e-01	1.111396217300000e+01
2.613713741300000e-01	1.111399555200000e+01
2.627117335800000e-01	1.111406135600000e+01
2.633819282100000e-01	1.111409282700000e+01
2.647222876500000e-01	1.111415481600000e+01
2.653924822800000e-01	1.111418438000000e+01
2.667328417300000e-01	1.111424255400000e+01
