vel	force
0.000000000000000e+00	2.523488044700000e+01
1.035949308400000e-02	2.456167984000000e+01
2.626280486600000e-02	2.352842140200000e+01
4.050561785700000e-02	2.244901657100000e+01
5.429329350600000e-02	2.136224365200000e+01
6.635239720300000e-02	2.026511383100000e+01
7.769109308699999e-02	1.917510604900000e+01
8.776078373200000e-02	1.809764480600000e+01
9.664862602900000e-02	1.704672241200000e+01
1.047661006500000e-01	1.601309776300000e+01
1.112893819800000e-01	1.503158855400000e+01
1.173510775000000e-01	1.406681823700000e+01
1.218472123100000e-01	1.316699028000000e+01
1.257501691600000e-01	1.229632377600000e+01
1.286294013300000e-01	1.147598266600000e+01
1.305784285100000e-01	1.070780277300000e+01
1.319887340100000e-01	9.969831466700001e+00
1.322056949100000e-01	9.306382179300000e+00
1.320821791900000e-01	8.665474891700001e+00
1.310107410000000e-01	8.089361190800000e+00
1.294565945900000e-01	7.549014568300000e+00
1.273656338500000e-01	7.048443794300000e+00
1.245979666700000e-01	6.601851463300000e+00
1.215740740300000e-01	6.175992012000000e+00
1.178458780100000e-01	5.810402870200000e+00
1.138787418600000e-01	5.466756820700000e+00
1.095111444600000e-01	5.159887790700000e+00
1.047770753500000e-01	5.063558578500000e+00
9.989460557700000e-02	5.063558578500000e+00
