vel	force
0.000000000000000e+00	2.523482513400000e+01
2.635578624900000e-02	2.361747741700000e+01
5.924289301000000e-02	2.159555435200000e+01
8.613792806900000e-02	1.975843620300000e+01
1.116647571300000e-01	1.796402740500000e+01
1.330067962400000e-01	1.630024147000000e+01
1.519510448000000e-01	1.472021198300000e+01
1.682730317100000e-01	1.323177814500000e+01
1.813869029300000e-01	1.187103271500000e+01
1.932318955700000e-01	1.056078910800000e+01
2.012911289900000e-01	9.420905113200000e+00
2.084583491100000e-01	8.325082778900001e+00
2.130014449400000e-01	7.360999584200000e+00
2.161383032800000e-01	6.474660396600000e+00
2.178256958700000e-01	5.668455123900000e+00
2.176786214100000e-01	4.972692489600000e+00
2.168671786800000e-01	4.317504882800000e+00
2.142417132900000e-01	3.779858589200000e+00
2.110416889200000e-01	3.281959772100000e+00
2.068547755500000e-01	2.852336406700000e+00
2.018226832200000e-01	2.715665340400000e+00
1.964304298200000e-01	2.715665340400000e+00
