vel	force
0.000000000000000e+00	2.523482132000000e+01
5.919871386100000e-03	2.483795166000000e+01
1.318908575900000e-02	2.434385108900000e+01
1.990351453400000e-02	2.378581619300000e+01
2.640313096300000e-02	2.321276092500000e+01
3.244123607900000e-02	2.260743713400000e+01
3.805940225700000e-02	2.198575019800000e+01
4.336448013800000e-02	2.135186386100000e+01
4.803301394000000e-02	2.070780181900000e+01
5.250125005800000e-02	2.006179809600000e+01
5.625816434600000e-02	1.941726875300000e+01
5.974134430300000e-02	1.877733802800000e+01
6.271997094200001e-02	1.814587974500000e+01
6.522879749500000e-02	1.752817916900000e+01
6.744604557800001e-02	1.691901397700000e+01
6.901391595600000e-02	1.633592987100000e+01
7.038801163400001e-02	1.576170921300000e+01
7.117559760800000e-02	1.521682262400000e+01
7.167991995799999e-02	1.468864440900000e+01
7.181427627799999e-02	1.418228817000000e+01
7.151658833000001e-02	1.370521831500000e+01
7.104521244799999e-02	1.323992157000000e+01
7.002034783400000e-02	1.281689643900000e+01
6.885074824100000e-02	1.240618228900000e+01
6.732023507400001e-02	1.202620887800000e+01
6.553055346000000e-02	1.167080688500000e+01
6.354862451600000e-02	1.133363151600000e+01
6.121953949300000e-02	1.103302478800000e+01
5.877996981100000e-02	1.074491787000000e+01
5.604893714200000e-02	1.049185371400000e+01
5.317879468200000e-02	1.025798606900000e+01
5.014903470900000e-02	1.004614543900000e+01
4.692738503200000e-02	9.865303039600001e+00
4.363301023800000e-02	9.696716308599999e+00
4.015183448800000e-02	9.564597129799999e+00
3.661138191800000e-02	9.447200775100001e+00
3.297513350800000e-02	9.353595733600001e+00
2.926306426500000e-02	9.324774742100001e+00
2.553055062900000e-02	9.324774742100001e+00
