vel	force
0.000000000000000e+00	2.523500061000000e+01
1.763673313000000e-02	2.422243118300000e+01
7.198861241300000e-02	2.110272598300000e+01
1.186990290900000e-01	1.836813736000000e+01
1.589174419600000e-01	1.596073246000000e+01
1.908262819100000e-01	1.388429927800000e+01
2.201410830000000e-01	1.191118621800000e+01
2.406088858800000e-01	1.028190803500000e+01
2.592940926600000e-01	8.726140022299999e+00
2.723858654500000e-01	7.401545524600000e+00
2.825765311700000e-01	6.207993984200000e+00
2.897555232000000e-01	5.150477409400000e+00
2.933692038100000e-01	4.269853591900000e+00
2.956942915900000e-01	3.453954696700000e+00
2.945654988300000e-01	2.825584888500000e+00
2.924852669200000e-01	2.253380537000000e+00
2.886214554300000e-01	1.786469936400000e+00
2.834204137300000e-01	1.629559993700000e+00
2.775115966800000e-01	1.629559993700000e+00
