vel	force
0.000000000000000e+00	2.523482322700000e+01
9.479733556500000e-02	2.068200302100000e+01
2.125055491900000e-01	1.503147316000000e+01
2.793148756000000e-01	1.205047988900000e+01
3.398593366100000e-01	9.288104057300000e+00
3.797023296400000e-01	7.248125076300000e+00
4.109091460700000e-01	5.496000289900000e+00
4.324244558800000e-01	4.066904068000000e+00
4.446437954900000e-01	2.972363948800000e+00
4.533248245700000e-01	2.005740881000000e+00
4.535955786700000e-01	1.380614042300000e+00
4.521255195100000e-01	8.373484015500000e-01
4.469788968600000e-01	4.669769108300000e-01
4.397711455800000e-01	3.378008008000000e-01
4.314897656400000e-01	3.378008008000000e-01
