time	vel
0.000000000000000e+00	0.000000000000000e+00
1.801714301000006e-03	1.192440511700000e-03
3.603361547000000e-03	3.521382110200000e-03
5.404818803000006e-03	6.863424088800000e-03
7.205903530000002e-03	1.106105279200000e-02
9.006388485000003e-03	1.593167521100000e-02
1.080600544800001e-02	2.127821184700000e-02
1.260446757100001e-02	2.690005675000000e-02
1.440146937900001e-02	3.260331600900000e-02
1.619670167500000e-02	3.820945322500000e-02
1.798986643500000e-02	4.356182739100000e-02
1.978066936100001e-02	4.852991551200000e-02
2.156885340800001e-02	5.301135033400000e-02
2.335417643200001e-02	5.693202093200000e-02
2.513642981600001e-02	6.024466455000000e-02
2.691544964900000e-02	6.292638182599999e-02
2.869107946700000e-02	6.497551500800000e-02
3.046323731500000e-02	6.640812009600000e-02
3.223184123600001e-02	6.725452840300000e-02
3.399685397700000e-02	6.755599379500001e-02
3.575826808800001e-02	6.736168265299999e-02
3.751609846900000e-02	6.672601401800000e-02
3.927038982500000e-02	6.570645421700000e-02
4.102120921000001e-02	6.436163932100000e-02
4.276862368000001e-02	6.274989992400000e-02
4.451272264100001e-02	6.092808395600000e-02
4.625362530300001e-02	5.895064026100000e-02
4.799142107300000e-02	5.686891824000000e-02
4.972624406200001e-02	5.473064631200000e-02
5.145819857700000e-02	5.257951095700000e-02
5.318739637700000e-02	5.045488476800000e-02
5.491397157300000e-02	4.839158430700000e-02
5.663802102200000e-02	4.641972109700000e-02
5.835965647900000e-02	4.456461593500000e-02
6.007897480900000e-02	4.284673929200000e-02
6.179607286900000e-02	4.128174111200000e-02
6.351102515900001e-02	3.988051042000000e-02
6.522392108900001e-02	3.864933177800000e-02
6.693481280900000e-02	3.759006783400000e-02
6.864376738900001e-02	3.670044615900000e-02
7.035082950900000e-02	3.597439825500000e-02
7.205603643900001e-02	3.540244698500000e-02
7.375941797900000e-02	3.497218713200000e-02
7.546100392900000e-02	3.466876968700000e-02
7.716081663900000e-02	3.447543829700000e-02
7.885885610900001e-02	3.437408059800000e-02
8.055512979900001e-02	3.434577211700000e-02
8.224963768900001e-02	3.437132015800000e-02
8.394240960900001e-02	3.443174809200000e-02
8.563340827900001e-02	3.450875729300000e-02
8.732264861899999e-02	3.458513692000000e-02
8.901013060900001e-02	3.464509546800000e-02
9.069583937900000e-02	3.467453643700000e-02
9.237978979899999e-02	3.466126322700000e-02
9.406198188900000e-02	3.459512069800000e-02
9.574241563899999e-02	3.446806222200000e-02
9.742109104900001e-02	3.427416086200000e-02
9.909803792900002e-02	3.400958329400000e-02
1.007732711690000e-01	3.367249295100000e-02
1.024467907890000e-01	3.326294571200000e-02
1.041186265690000e-01	3.278271481400000e-02
1.057888232190000e-01	3.223513066800000e-02
1.074573807390000e-01	3.162489458900000e-02
1.091243587390000e-01	3.095786646000000e-02
1.107897721190000e-01	3.024085611100000e-02
1.124536655890000e-01	2.948142588100000e-02
1.141160838290000e-01	2.868768386500000e-02
1.157770566590000e-01	2.786807902200000e-02
1.174366436890000e-01	2.703122049600000e-02
1.190948598090000e-01	2.618569321900000e-02
1.207517795290000e-01	2.533989585900000e-02
1.224074177490000e-01	2.450188249300000e-02
1.240618489690000e-01	2.367923967500000e-02
1.257150880990000e-01	2.287895046200000e-02
1.273671798390000e-01	2.210729755500000e-02
1.290181837990000e-01	2.136978693300000e-02
1.306681148690000e-01	2.067106589700000e-02
1.323170177590000e-01	2.001488208800000e-02
1.339649222790000e-01	1.940405927600000e-02
1.356118582190000e-01	1.884048245800000e-02
1.372578702890000e-01	1.832510344700000e-02
1.389029584790000e-01	1.785797625800000e-02
1.405471675090000e-01	1.743829622900000e-02
1.421905122690000e-01	1.706445775900000e-02
1.438330076590000e-01	1.673413254300000e-02
1.454746685890000e-01	1.644435338700000e-02
1.471155248590000e-01	1.619160734100000e-02
1.487555764590000e-01	1.597194373600000e-02
1.503948382990000e-01	1.578107290000000e-02
1.520333103790000e-01	1.561448629900000e-02
1.536710225090000e-01	1.546755340000000e-02
1.553079597690000e-01	1.533563714500000e-02
1.569441519690000e-01	1.521418709300000e-02
1.585795842090000e-01	1.509883441000000e-02
1.602142713990000e-01	1.498547475800000e-02
1.618482284290000e-01	1.487033814200000e-02
1.634814403990000e-01	1.475005410600000e-02
1.651139222090000e-01	1.462169457200000e-02
1.667456887690000e-01	1.448281016200000e-02
1.683767549690000e-01	1.433145441100000e-02
1.700071059190000e-01	1.416619215200000e-02
1.716367565090000e-01	1.398609858000000e-02
1.732657216490000e-01	1.379074342500000e-02
1.748940013390000e-01	1.358017418500000e-02
1.765216253690000e-01	1.335487701000000e-02
1.781485937490000e-01	1.311574503800000e-02
1.797749064890000e-01	1.286402717200000e-02
1.814005933690000e-01	1.260128151600000e-02
1.830256693090000e-01	1.232932135500000e-02
1.846501342990000e-01	1.205015834400000e-02
1.862740032390000e-01	1.176594849700000e-02
1.878973059390000e-01	1.147893350600000e-02
1.895200423890000e-01	1.119138393600000e-02
1.911422274990000e-01	1.090555451800000e-02
1.927638761690000e-01	1.062362548000000e-02
1.943850181990000e-01	1.034766435600000e-02
1.960056386890000e-01	1.007958129000000e-02
1.976257674390000e-01	9.821098297800000e-03
1.992454342590000e-01	9.573715739000000e-03
2.008646093290000e-01	9.338692762000000e-03
2.024833373690000e-01	9.117029607300001e-03
2.041016332790000e-01	8.909455500499999e-03
2.057194821490000e-01	8.716425858400000e-03
2.073368839890000e-01	8.538127876800000e-03
2.089538983990000e-01	8.374480530600000e-03
2.105704955790000e-01	8.225155994300000e-03
2.121867053190000e-01	8.089590817700000e-03
2.138024978290000e-01	7.967014797000000e-03
2.154179029190000e-01	7.856469601400001e-03
