time	vel
0.000000000000000e+00	0.000000000000000e+00
1.801714300000007e-03	1.946482007000000e-05
3.603428600000014e-03	1.280477299600000e-04
5.405128000000009e-03	3.195127064800000e-04
7.206812499999993e-03	5.866053979800000e-04
9.008482099999993e-03	9.212135919400000e-04
1.081007719000002e-02	1.314537017600000e-03
1.261161268000000e-02	1.757263089500000e-03
1.441305876000001e-02	2.239744644600000e-03
1.621437072000001e-02	2.752176253100000e-03
1.801554858000001e-02	3.284764243300000e-03
1.981653273000000e-02	3.827889449900000e-03
2.161730826000000e-02	4.372256808000000e-03
2.341786027000001e-02	4.909032955800000e-03
2.521812915999999e-02	5.429965443900000e-03
2.701811492000000e-02	5.927486345200000e-03
2.881777286000001e-02	6.394797004800000e-03
3.061708807999999e-02	6.825935561200000e-03
3.241603075999999e-02	7.215822115500000e-03
3.421458601999999e-02	7.560291327500000e-03
3.601272404000000e-02	7.856102660300001e-03
3.781042993000000e-02	8.100938051900000e-03
3.960770367999999e-02	8.293384686100001e-03
4.140453040000000e-02	8.432900533100000e-03
4.320089519000000e-02	8.519775234200000e-03
4.499681293999999e-02	8.555075153699999e-03
4.679225384999999e-02	8.540583774400000e-03
4.858723282999999e-02	8.478730917000001e-03
5.038174986999999e-02	8.372524753200000e-03
5.217581987000000e-02	8.225470781300001e-03
5.396942794000001e-02	8.041495457299999e-03
5.576261878000000e-02	7.824867032500000e-03
5.755537748000000e-02	7.580112665900000e-03
5.934773385000000e-02	7.311940193200000e-03
6.113968789000002e-02	7.025165017700000e-03
6.293126940000002e-02	6.724630016800000e-03
6.472247839000000e-02	6.415140815100000e-03
6.651334464000000e-02	6.101394072200000e-03
6.830388307000002e-02	5.787920672400000e-03
7.009409368000002e-02	5.479024257500000e-03
7.188402115999998e-02	5.178735591500000e-03
7.367368042000000e-02	4.890763666500000e-03
7.546304166000001e-02	4.618459381200000e-03
7.725219428000002e-02	4.364783875600000e-03
7.904107867999999e-02	4.132283385800000e-03
8.082975447000001e-02	3.923070151400000e-03
8.261822163999999e-02	3.738812869400000e-03
8.440648019000002e-02	3.580731106900000e-03
8.619455993000003e-02	3.449598094400000e-03
8.798243105000003e-02	3.345749341000000e-03
8.977015315999998e-02	3.269097069300000e-03
9.155766665999998e-02	3.219151636600000e-03
9.334503113999998e-02	3.195046214400000e-03
9.513218700999998e-02	3.195566823700000e-03
9.691919386000003e-02	3.219188423800000e-03
9.870605170000002e-02	3.264110069700000e-03
1.004927009300000e-01	3.328297054400000e-03
1.022791713500000e-01	3.409521654200000e-03
1.040654629400000e-01	3.505407134100000e-03
1.058515757300000e-01	3.613470122200000e-03
1.076374799000000e-01	3.731164848400000e-03
1.094232052500000e-01	3.855924820500000e-03
1.112086921900000e-01	3.985202405600000e-03
1.129939705100000e-01	4.116507712800000e-03
1.147790402100000e-01	4.247443284800000e-03
1.165638715000000e-01	4.375736694800000e-03
1.183484941700000e-01	4.499268252400000e-03
1.201328486200000e-01	4.616095684500000e-03
1.219169348500000e-01	4.724474623800000e-03
1.237008124600000e-01	4.822876304400000e-03
1.254843920400000e-01	4.909997340300000e-03
1.272677332100000e-01	4.984769970200000e-03
1.290508061600000e-01	5.046364385600000e-03
1.308335810900000e-01	5.094190128100000e-03
1.326160877900000e-01	5.127892363800000e-03
1.343983560800000e-01	5.147345364100000e-03
1.361802965400000e-01	5.152642261200000e-03
1.379619985800000e-01	5.144082009800000e-03
1.397434026000000e-01	5.122156348100000e-03
1.415245384000000e-01	5.087529774800000e-03
1.433054059700000e-01	5.041023716300000e-03
1.450860053300000e-01	4.983596038100000e-03
1.468663066600000e-01	4.916318226600000e-03
1.486463695700000e-01	4.840356763500000e-03
1.504261642700000e-01	4.756948910700000e-03
1.522057205400000e-01	4.667382687300000e-03
1.539850085900000e-01	4.572974517900000e-03
1.557640582300000e-01	4.475050140200000e-03
1.575428694500000e-01	4.374922253200000e-03
1.593214422400000e-01	4.273874219500000e-03
1.610997766200000e-01	4.173142835500000e-03
1.628779023900000e-01	4.073899705000000e-03
1.646557897300000e-01	3.977240994600000e-03
1.664334982600000e-01	3.884172532700000e-03
1.682109683700000e-01	3.795600263400000e-03
1.699882298700000e-01	3.712321398800000e-03
1.717653125500000e-01	3.635017899800000e-03
1.735421866200000e-01	3.564252983800000e-03
1.753188818700000e-01	3.500466700600000e-03
1.770953983000000e-01	3.443976165700000e-03
1.788717061300000e-01	3.394977189600000e-03
1.806478351300000e-01	3.353546373500000e-03
1.824237853300000e-01	3.319645533300000e-03
1.841995865100000e-01	3.293128218500000e-03
1.859751790700000e-01	3.273746464400000e-03
1.877505928300000e-01	3.261159872600000e-03
1.895258575700000e-01	3.254944225800000e-03
1.913009434900000e-01	3.254602197600000e-03
1.930758208000000e-01	3.259574528800000e-03
1.948505491000000e-01	3.269250504700000e-03
1.966250985800000e-01	3.282980062100000e-03
1.983994990600000e-01	3.300084965300000e-03
2.001736909100000e-01	3.319870447700000e-03
2.019477039600000e-01	3.341635922000000e-03
2.037215679900000e-01	3.364686854200000e-03
2.054952234000000e-01	3.388343146100000e-03
2.072687000000000e-01	3.411949146500000e-03
2.090419977900000e-01	3.434883430600000e-03
2.108151167600000e-01	3.456563921600000e-03
2.125880569200000e-01	3.476457204700000e-03
2.143607884600000e-01	3.494082251600000e-03
2.161333411900000e-01	3.509015543400000e-03
2.179057151100000e-01	3.520894795700000e-03
2.196779102100000e-01	3.529421519500000e-03
2.214498966900000e-01	3.534361720100000e-03
