time	vel
0.000000000000000e+00	0.000000000000000e+00
1.801714300999999e-03	1.914218417400000e-03
3.603324293999999e-03	6.862855516400000e-03
5.404559896000000e-03	1.458604075000000e-02
7.205003873000000e-03	2.457028627400000e-02
9.004114195999998e-03	3.611712902800000e-02
1.080126129100000e-02	4.844411835100000e-02
1.259578205700000e-02	6.078893318800000e-02
1.438700966600000e-02	7.249210029800000e-02
1.617431826900000e-02	8.304639160600000e-02
1.795714907400000e-02	9.211295843099999e-02
1.973502151700000e-02	9.951200336200000e-02
2.150755561900000e-02	1.051978170900000e-01
2.327446080800000e-02	1.092274189000000e-01
2.503554336800000e-02	1.117291748500000e-01
2.679068781500000e-02	1.128753572700000e-01
2.853985317100000e-02	1.128603145500000e-01
3.028306178800000e-02	1.118844524000000e-01
3.202038072100000e-02	1.101432442700000e-01
3.375192917900000e-02	1.078203246000000e-01
3.547784127299999e-02	1.050834730300000e-01
3.719827719100000e-02	1.020825356200000e-01
3.891341574500000e-02	9.894853830300000e-02
4.062343202599999e-02	9.579343348699999e-02
4.232850484600000e-02	9.271017462000000e-02
4.402880929400001e-02	8.977296948400000e-02
4.572450183400001e-02	8.703766763199999e-02
4.741573892600000e-02	8.454231917900000e-02
4.910266958200001e-02	8.230800181600000e-02
5.078540556200001e-02	8.033999800699999e-02
5.246405862300001e-02	7.862934470200000e-02
5.413873307400001e-02	7.715480029600000e-02
5.580950342100001e-02	7.588510960300000e-02
5.747645162100000e-02	7.478156685800000e-02
5.913963727700000e-02	7.380063831800000e-02
6.079911254400000e-02	7.289662957199999e-02
6.245494447700001e-02	7.202410697900000e-02
6.410717777900000e-02	7.114011794300000e-02
6.575585715500000e-02	7.020595669700000e-02
6.740104965900000e-02	6.918857991700000e-02
6.904279999500000e-02	6.806151568900000e-02
7.068118266800000e-02	6.680542230600001e-02
7.231626473400000e-02	6.540821492700000e-02
7.394811324800001e-02	6.386490166200000e-02
7.557681761700000e-02	6.217712163900000e-02
7.720246724800001e-02	6.035254895700000e-02
7.882515899900000e-02	5.840413272400000e-02
8.044498972600000e-02	5.634924024300000e-02
8.206206373600000e-02	5.420878902100000e-02
8.367649279600001e-02	5.200637504500000e-02
8.528838120600001e-02	4.976737871800000e-02
8.689785562600000e-02	4.751814901800000e-02
8.850502036600000e-02	4.528518021100000e-02
9.010999463600000e-02	4.309437423900000e-02
9.171287529600000e-02	4.097033664600000e-02
9.331377409600000e-02	3.893571347000000e-02
9.491278789600001e-02	3.701062500500000e-02
9.651002101600001e-02	3.521215170600000e-02
9.810555539600001e-02	3.355389460900000e-02
9.969948045600001e-02	3.204568103000000e-02
1.012918557960000e-01	3.069332428300000e-02
1.028827559160000e-01	2.949854359000000e-02
1.044722478860000e-01	2.845901250800000e-02
1.060603614860000e-01	2.756854146700000e-02
1.076471563460000e-01	2.681739628300000e-02
1.092326845960000e-01	2.619273774300000e-02
1.108169462560000e-01	2.567916922300000e-02
1.123999711160000e-01	2.525938116000000e-02
1.139818038760000e-01	2.491481788500000e-02
1.155624445560000e-01	2.462640404700000e-02
1.171419080360000e-01	2.437522634900000e-02
1.187202092260000e-01	2.414318732900000e-02
1.202973630260000e-01	2.391359023700000e-02
1.218733694360000e-01	2.367162890700000e-02
1.234482582660000e-01	2.340476959900000e-02
1.250220444060000e-01	2.310302294800000e-02
1.265947129560000e-01	2.275909110900000e-02
1.281663086260000e-01	2.236842364100000e-02
1.297368463160000e-01	2.192914485900000e-02
1.313063409160000e-01	2.144190855300000e-02
1.328748222460000e-01	2.090967074000000e-02
1.344423200960000e-01	2.033740095800000e-02
1.360088493660000e-01	1.973175443700000e-02
1.375744547660000e-01	1.910069771100000e-02
1.391391362960000e-01	1.845314912500000e-02
1.407029684660000e-01	1.779857091600000e-02
1.422659512660000e-01	1.714661531200000e-02
1.438281293960000e-01	1.650675386200000e-02
1.453895177660000e-01	1.588795334100000e-02
1.469501610860000e-01	1.529837772300000e-02
1.485100891460000e-01	1.474513020400000e-02
1.500693317460000e-01	1.423405576500000e-02
1.516278889060000e-01	1.376957632600000e-02
1.531858053060000e-01	1.335459947600000e-02
1.547430958560000e-01	1.299046818200000e-02
1.562997754660000e-01	1.267698407200000e-02
1.578558590260000e-01	1.241246704000000e-02
1.594113465360000e-01	1.219387911300000e-02
1.609662827060000e-01	1.201699022200000e-02
1.625206377360000e-01	1.187657471700000e-02
1.640744414160000e-01	1.176664512600000e-02
1.656276937560000e-01	1.168069616000000e-02
1.671804096560000e-01	1.161196176000000e-02
1.687325593060000e-01	1.155366934800000e-02
1.702841874260000e-01	1.149927359100000e-02
1.718352641960000e-01	1.144267898100000e-02
1.733858194160000e-01	1.137842889900000e-02
1.749358233060000e-01	1.130185835100000e-02
1.764853056560000e-01	1.120921224400000e-02
1.780342664560000e-01	1.109771803000000e-02
1.795827206260000e-01	1.096562575500000e-02
1.811306383460000e-01	1.081220153700000e-02
1.826780643360000e-01	1.063769124400000e-02
1.842249985760000e-01	1.044324506100000e-02
1.857714410860000e-01	1.023082248900000e-02
1.873174067560000e-01	1.000306848400000e-02
1.888628955960000e-01	9.763177484300001e-03
1.904079373960000e-01	9.514747187500000e-03
1.919525321560000e-01	9.261622093600000e-03
1.934966947860000e-01	9.007742628499999e-03
1.950404401860000e-01	8.756997063800001e-03
1.965837832560000e-01	8.513084612800001e-03
1.981267239860000e-01	8.279389701800000e-03
1.996692772960000e-01	8.058877661799999e-03
2.012114580760000e-01	7.854008115800001e-03
2.027532812260000e-01	7.666666060700000e-03
2.042947318360000e-01	7.498126942700000e-03
2.058358397360000e-01	7.349032908700000e-03
2.073766048960000e-01	7.219401188200000e-03
2.089170422360000e-01	7.108651101600000e-03
2.104571368560000e-01	7.015650160600000e-03
2.119969185460000e-01	6.938781123600000e-03
2.135363724060000e-01	6.876021158000000e-03
2.150754984460000e-01	6.825029850000000e-03
2.166143264660000e-01	6.783251185000000e-03
2.181528266560000e-01	6.748010870100000e-03
2.196910139160000e-01	6.716617848700000e-03
2.212288882560000e-01	6.686459295500000e-03
2.227664496760000e-01	6.655088160200000e-03
2.243037130660000e-01	6.620302330700000e-03
2.258406635360000e-01	6.580205168600000e-03
2.273773010860000e-01	6.533259525900000e-03
2.289136406060000e-01	6.478318478900000e-03
2.304496671960000e-01	6.414645817100000e-03
2.319854106760000e-01	6.341916974600000e-03
2.335208859260000e-01	6.260209251200000e-03
2.350560333560000e-01	6.169973406900000e-03
2.365909125660000e-01	6.071998272100000e-03
2.381254937460000e-01	5.967363249500000e-03
2.396598067160000e-01	5.857381504000000e-03
2.411938514560000e-01	5.743543151800000e-03
2.427276279760000e-01	5.627448670600000e-03
2.442611660860000e-01	5.510748364000000e-03
2.457944359660000e-01	5.395077634600000e-03
2.473274376260000e-01	5.282001104200000e-03
2.488602008660000e-01	5.172958131900000e-03
2.503927256960000e-01	5.069218576000000e-03
2.519250418960000e-01	4.971843678500000e-03
2.534570898860000e-01	4.881659522700000e-03
2.549889292560000e-01	4.799237009100000e-03
2.565205600160000e-01	4.724883940100000e-03
