time	vel
0.000000000000000e+00	0.000000000000000e+00
1.801706851000007e-03	8.362569497000000e-05
3.603421152000005e-03	7.167037692900000e-04
5.405090749000002e-03	1.857201336000000e-03
7.206656039000003e-03	3.452386474200000e-03
9.008042514000003e-03	5.440639331900000e-03
1.080912351600001e-02	7.753599900800000e-03
1.260979473600000e-02	1.031852606700000e-02
1.440989226100001e-02	1.306072995100000e-02
1.620928943200001e-02	1.590594276800000e-02
1.800782233500001e-02	1.878250390300000e-02
1.980533450800001e-02	2.162327431100000e-02
2.160166949000000e-02	2.436717972200000e-02
2.339668571900000e-02	2.696041390300000e-02
2.519024163500000e-02	2.935721725200000e-02
2.698221057700001e-02	3.152031078900000e-02
2.877247333500001e-02	3.342098742700000e-02
3.056092560300000e-02	3.503893688300000e-02
3.234749286900000e-02	3.636180982000000e-02
3.413210063900000e-02	3.738464042500000e-02
3.591468929900000e-02	3.810913860800000e-02
3.769523650900000e-02	3.854287788300000e-02
3.947370498900001e-02	3.869850933600000e-02
4.125009476900000e-02	3.859290480600000e-02
4.302442073900001e-02	3.824638947800000e-02
4.479669779900000e-02	3.768196329500000e-02
4.656695574900001e-02	3.692460060100000e-02
4.833524673900000e-02	3.600061684800000e-02
5.010161548900001e-02	3.493708372100000e-02
5.186612158900000e-02	3.376130387200000e-02
5.362882464900001e-02	3.250036016100000e-02
5.538980662900000e-02	3.118069097400000e-02
5.714912712900001e-02	2.982775680700000e-02
5.890685319900001e-02	2.846570871800000e-02
6.066308915900000e-02	2.711712569000000e-02
6.241787969899999e-02	2.580277808000000e-02
6.417129933900000e-02	2.454142458700000e-02
6.592342257900001e-02	2.334965020400000e-02
6.767430901900000e-02	2.224173955600000e-02
6.942401825900001e-02	2.122956700600000e-02
7.117262482900001e-02	2.032254263800000e-02
7.292014360900000e-02	1.952758804000000e-02
7.466663419900001e-02	1.884914003300000e-02
7.641212641900001e-02	1.828920655000000e-02
7.815666496899999e-02	1.784745231300000e-02
7.990024983900000e-02	1.752132736100000e-02
8.164292573899999e-02	1.730622723700000e-02
8.338469266900002e-02	1.719568856100000e-02
8.512555062900000e-02	1.718161627700000e-02
8.686549961900002e-02	1.725452579600000e-02
8.860455452900000e-02	1.740381307900000e-02
9.034268557900001e-02	1.761803031000000e-02
9.207990765900000e-02	1.788516156400000e-02
9.381617605900001e-02	1.819290593300000e-02
9.555150568900002e-02	1.852894201900000e-02
9.728585183900000e-02	1.888117380400000e-02
9.901921450900002e-02	1.923797652100000e-02
1.007515639090000e-01	1.958838105200000e-02
1.024829000190000e-01	1.992226578300000e-02
1.042131930590000e-01	2.023049444000000e-02
1.059424281090000e-01	2.050503529600000e-02
1.076705902790000e-01	2.073903195600000e-02
1.093976795690000e-01	2.092686854300000e-02
1.111236661690000e-01	2.106417901800000e-02
1.128485649790000e-01	2.114784903800000e-02
1.145723611090000e-01	2.117598056800000e-02
1.162950545590000e-01	2.114784717600000e-02
1.180166453090000e-01	2.106381766500000e-02
1.197371333790000e-01	2.092527598100000e-02
1.214565485690000e-01	2.073452808000000e-02
1.231748908790000e-01	2.049468457700000e-02
1.248921602990000e-01	2.020956762100000e-02
1.266083866390000e-01	1.988357864300000e-02
1.283235847990000e-01	1.952159404800000e-02
1.300377696790000e-01	1.912884600500000e-02
1.317509710790000e-01	1.871080510300000e-02
1.334631890090000e-01	1.827307976800000e-02
1.351744830590000e-01	1.782130636300000e-02
1.368848383390000e-01	1.736105047200000e-02
1.385943144590000e-01	1.689772494100000e-02
1.403029113990000e-01	1.643649488700000e-02
1.420106589790000e-01	1.598221622400000e-02
1.437175720890000e-01	1.553936675200000e-02
1.454236954490000e-01	1.511198841000000e-02
1.471290439390000e-01	1.470364816500000e-02
1.488336324690000e-01	1.431740075300000e-02
