time	vel
0.000000000000000e+00	0.000000000000000e+00
1.801714299999993e-03	1.591050822800000e-04
3.603413700000002e-03	5.064283614000001e-04
5.405098199999986e-03	1.025958103100000e-03
7.206708199999995e-03	1.699331682200000e-03
9.008243680000000e-03	2.506284043200000e-03
1.080964505999998e-02	3.425127128100000e-03
1.261083782000000e-02	4.433243069800000e-03
1.441180706000000e-02	5.507579539000000e-03
1.621247828000000e-02	6.625129841300000e-03
1.801277697000001e-02	7.763386704000000e-03
1.981267333000000e-02	8.900757879000000e-03
2.161207795000000e-02	1.001693122100000e-02
2.341093122999999e-02	1.109319366500000e-02
2.520918846000000e-02	1.211267989100000e-02
2.700677513999999e-02	1.306057348800000e-02
2.880367637000000e-02	1.392424106600000e-02
3.059980273999999e-02	1.469331141600000e-02
3.239513933999999e-02	1.535970345100000e-02
3.418964148000000e-02	1.591760665200000e-02
3.598329424999999e-02	1.636341586700000e-02
3.777605295000000e-02	1.669563353100000e-02
3.956790268999999e-02	1.691473648000000e-02
4.135884344999999e-02	1.702303439400000e-02
4.314886033999998e-02	1.702448912000000e-02
4.493796825999999e-02	1.692453585600000e-02
4.672615229999999e-02	1.672989502500000e-02
4.851342738000000e-02	1.644837483800000e-02
5.029982328999999e-02	1.608867570800000e-02
5.208535492999999e-02	1.566020213100000e-02
5.387003720000000e-02	1.517287362400000e-02
5.565391480999998e-02	1.463693752900000e-02
5.743698776000000e-02	1.406280882700000e-02
5.921931564999999e-02	1.346089877200000e-02
6.100091337999999e-02	1.284146308900000e-02
6.278181076000000e-02	1.221446506700000e-02
6.456206739000001e-02	1.158944144800000e-02
6.634169816999999e-02	1.097538787900000e-02
6.812073290999998e-02	1.038065552700000e-02
6.989921629999998e-02	9.812857955700000e-03
7.167717814999999e-02	9.278795681899999e-03
7.345463335999999e-02	8.784395642600000e-03
7.523162662999999e-02	8.334659039999999e-03
7.700815796999999e-02	7.933633402000000e-03
7.878427208000000e-02	7.584388833500000e-03
8.055998384999999e-02	7.289021741600000e-03
8.233529330000000e-02	7.048661354900000e-03
8.411024510999998e-02	6.863498594600000e-03
8.588480949999999e-02	6.732826121200000e-03
8.765901625000000e-02	6.655090954200000e-03
8.943288028999999e-02	6.627958267900000e-03
9.120637178999999e-02	6.648388225600000e-03
9.297952056000000e-02	6.712718401100000e-03
9.475231170999998e-02	6.816754583300000e-03
9.652473033000000e-02	6.955866701900000e-03
9.829677641999998e-02	7.125089410700000e-03
1.000684350800000e-01	7.319219876100000e-03
1.018397212100000e-01	7.532918360100000e-03
1.036105901000000e-01	7.760806009200000e-03
1.053810417700000e-01	7.997555658200000e-03
1.071510762000000e-01	8.237981237500001e-03
1.089206636000000e-01	8.477113209700000e-03
1.106898039600000e-01	8.710272610200000e-03
1.124584823900000e-01	8.933135308300000e-03
1.142266839800000e-01	9.141777642100000e-03
1.159943789300000e-01	9.332724846900000e-03
1.177615970400000e-01	9.502980858100000e-03
1.195282936100000e-01	9.650049731100001e-03
1.212944835500000e-01	9.771948680299999e-03
1.230601519400000e-01	9.867209941100000e-03
1.248252987900000e-01	9.934877045500000e-03
1.265899092000000e-01	9.974488988500001e-03
1.283539831700000e-01	9.986056946200000e-03
1.301175355900000e-01	9.970043785899999e-03
1.318805515800000e-01	9.927324950699999e-03
1.336430609300000e-01	9.859152138200000e-03
1.354050040300000e-01	9.767114184800000e-03
1.371664702900000e-01	9.653094224599999e-03
1.389274001200000e-01	9.519219398499999e-03
1.406878233000000e-01	9.367819875500000e-03
1.424477696400000e-01	9.201376698899999e-03
1.442072093500000e-01	9.022479876900000e-03
1.459661722200000e-01	8.833778090800000e-03
1.477246582500000e-01	8.637938648500000e-03
1.494826972500000e-01	8.437602780800000e-03
1.512402892100000e-01	8.235348388599999e-03
1.529974341400000e-01	8.033652789900000e-03
1.547541618400000e-01	7.834860123700001e-03
1.565104723000000e-01	7.641150150400000e-03
1.582663655300000e-01	7.454516366100000e-03
1.600218713300000e-01	7.276743650400000e-03
1.617770195000000e-01	7.109389640400000e-03
1.635317504400000e-01	6.953773088800000e-03
1.652861237600000e-01	6.810965016500000e-03
1.670401692400000e-01	6.681785453100000e-03
1.687938273000000e-01	6.566801574100000e-03
1.705471277300000e-01	6.466330960400000e-03
1.723001301300000e-01	6.380452308800000e-03
1.740527451100000e-01	6.309011019800000e-03
1.758050620600000e-01	6.251637358200000e-03
1.775570213800000e-01	6.207760423400000e-03
1.793086826800000e-01	6.176628638100000e-03
1.810599863600000e-01	6.157329771700000e-03
1.828109920100000e-01	6.148813292400000e-03
1.845616698300000e-01	6.149913650000000e-03
